W,X,Y,Z,D,SE,Z.value
 Ghgam, FRgam, AOcol, ac_chri,-0.009123071900299217,0.003236613771093023,-2.8187088560827274
 CMgam, FRgam, AOcol, ac_chri,-0.014924281370627653,0.00308803681691023,-4.832935050806911
 BFgam, FRgam, AOcol, ac_chri,-0.015821582421601095,0.0030847524257001623,-5.128963442831231
GAgam, FRgam, AOcol, ac_chri,0.011018070333225091,0.0030814067611196075,3.575662412456625
 GNgam, FRgam, AOcol, ac_chri,-0.016349813488935175,0.0031274087133687056,-5.227910704170125
 GQgam, FRgam, AOcol, ac_chri,0.008961426532011083,0.003329430365280988,2.6915795042479527
 UGgam, FRgam, AOcol, ac_chri,-0.0133851373850887,0.0031005353204045585,-4.317040769379852
 GHgam, FRgam, BFcol, ac_chri,0.0011561439935544014,0.0029495233960081784,0.3919765461494904
 CMgam, FRgam, BFcol, ac_chri,-0.007706372556893588,0.002759913927881482,-2.7922510477741684
 BFgam, FRgam, BFcol, ac_chri,-0.005206987065466961,0.0026727529625038588,-1.9481737139630775
GAgam, FRgam, BFcol, ac_chri,0.00341441633328403,0.0028527014937646377,1.1969062801513493
 GNgam, FRgam, BFcol, ac_chri,-0.006912714948307433,0.002754776077163766,-2.5093563885688144
 GQgam, FRgam, BFcol, ac_chri,0.006436625299586878,0.002963348406646731,2.1720784789090803
 UGgam, FRgam, BFcol, ac_chri,-0.00874189955426462,0.0028185503467400754,-3.1015587727128833
 GHgam, FRgam, CIcol, ac_chri,0.0035538186089630963,0.0029367440428272346,1.2101220117030689
 CMgam, FRgam, CIcol, ac_chri,-0.006681647335285356,0.002797957121485348,-2.388044936063308
BFgam, FRgam, CIcol, ac_chri,-0.004546624520432526,0.002705760521548181,-1.6803499364500447
GAgam, FRgam, CIcol, ac_chri,0.005711028136998526,0.0028531797789329853,2.001636272332724
 GNgam, FRgam, CIcol, ac_chri,-0.00591906133804047,0.002791308250402133,-2.1205330286211614
 GQgam, FRgam, CIcol, ac_chri,0.008056763471201595,0.002987701934426815,2.696642318420318
 UGgam, FRgam, CIcol, ac_chri,0.003405522816463657,0.002942771662790256,1.1572501052407962
 GHgam, FRgam, GHcol, ac_chri,0.003405522816463657,0.002942771662790256,1.1572501052407962
 CMgam, FRgam, GHcol, ac_chri,-0.006827074665594077,0.0028047546271604815,-2.434107639749496
 BFgam, FRgam, GHcol, ac_chri,-0.004787315037367597,0.002703234104939898,-1.7709583600692385
GAgam, FRgam, GHcol, ac_chri,0.006078239882784388,0.0028687387016731636,2.1187847743816173
 GNgam, FRgam, GHcol, ac_chri,-0.006200228928730424,0.0027909933533138654,-2.2215133265611784
 GQgam, FRgam, GHcol, ac_chri,0.008419581618059079,0.0029960692079125557,2.81020932220896
 UGgam, FRgam, GHcol, ac_chri,-0.007948689668332393,0.0028762691063870115,-2.7635417182215742
 GHgam, FRgam, GNcol, ac_chri,0.003614246721667305,0.003123312357047421,1.1571838831656216
 CMgam, FRgam, GNcol, ac_chri,-0.006301405347990474,0.0028798986629630895,-2.1880649583367777
 BFgam, FRgam, Gncol, ac_chri,-0.004559017719582646,0.002807244649359757,-1.6240186692037735
GAgam, FRgam, GNcol, ac_chri,0.005552833954362548,0.00300540714092501,1.847614547376595
 GNgam, FRgam, GNcol, ac_chri,-0.005492533615448447,0.002899801594401573,-1.8941066954554633
 GQgam, FRgam, GNcol, ac_chri,0.007798045507218033,0.003079134071323909,2.532544970951906
 UGgam, FRgam, GNcol, ac_chri,-0.007317457248556512,0.0029001947209346002,-2.52309170682113
