Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-1383161.45	2766328.9	559139269.36	35655.11	1.2777,0.9165,1.6195
no_mig	Round_1_Replicate_2	-2044329.58	4088665.16	10403219791.88	18402.7	6.7201,0.2975,1.6517
no_mig	Round_1_Replicate_3	-844602.9	1689211.8	34700199.85	20588.93	3.0727,2.8007,0.8211
no_mig	Round_1_Replicate_4	-1143311.6	2286629.2	67628097.69	33695.4	3.1894,0.5112,0.4791
no_mig	Round_1_Replicate_5	-1390980.59	2781967.18	175659565.92	24186.3	6.6021,0.3819,0.6018
no_mig	Round_1_Replicate_6	-1274500.02	2549006.04	147096652.61	27527.02	3.5205,0.6408,0.883
no_mig	Round_1_Replicate_7	-875438.89	1750883.78	22834728.03	77198.86	0.4201,0.4066,0.1414
no_mig	Round_1_Replicate_8	-840021.59	1680049.18	36466452.46	31335.13	1.1549,2.2532,0.5343
no_mig	Round_1_Replicate_9	-734530.42	1469066.84	20869745.39	18083.34	4.4202,3.4356,0.6967
no_mig	Round_1_Replicate_10	-1117967.64	2235941.28	153590906.19	22903.65	1.539,2.5744,1.5102
no_mig	Round_2_Replicate_1	-1093461.08	2186928.16	128810931.1	25640.93	1.3532,2.3028,1.2737
no_mig	Round_2_Replicate_2	-1247960.48	2495926.96	266377241.52	28679.43	1.5256,1.4332,1.603
no_mig	Round_2_Replicate_3	-363037.58	726081.16	3079569.42	17236.39	7.4993,6.9311,0.3176
no_mig	Round_2_Replicate_4	-1116079.44	2232164.88	73111355.65	22528.66	5.0767,0.9575,0.7833
no_mig	Round_2_Replicate_5	-1212995.65	2425997.3	212712547.74	24521.45	2.0074,1.6535,1.684
no_mig	Round_2_Replicate_6	-1206275.05	2412556.1	285305454.27	21732.47	1.4265,2.7341,1.928
no_mig	Round_2_Replicate_7	-1377246.46	2754498.92	258170724.15	15383.74	8.1121,0.9519,1.4901
no_mig	Round_2_Replicate_8	-662911.67	1325829.34	8292281.21	34701.61	3.9585,0.9451,0.1982
no_mig	Round_2_Replicate_9	-1210057.48	2420120.96	144094119.79	23020.86	3.4382,1.1457,1.2903
no_mig	Round_2_Replicate_10	-723846.34	1447698.68	24921071.94	11438.56	5.4318,8.0416,1.0792
no_mig	Round_2_Replicate_11	-765627.03	1531260.06	35855289.13	7674.16	5.7276,16.2903,1.5717
no_mig	Round_2_Replicate_12	-465032.98	930071.96	3845343.13	35232.2	2.9375,1.625,0.1632
no_mig	Round_2_Replicate_13	-406420.22	812846.44	2249176.28	32580.9	6.43,1.5994,0.1299
no_mig	Round_2_Replicate_14	-1003407.55	2006821.1	155198250.6	9506.54	1.2554,18.3427,1.344
no_mig	Round_2_Replicate_15	-1034236.75	2068479.5	89307447.12	14118.22	4.2954,3.6147,1.8231
no_mig	Round_2_Replicate_16	-516439.15	1032884.3	8677421.64	29587.97	1.2649,4.0747,0.2403
no_mig	Round_2_Replicate_17	-695976.95	1391959.9	23077521.95	17110.83	2.4444,6.2977,0.6766
no_mig	Round_2_Replicate_18	-699811.78	1399629.56	13074206.54	28335.94	3.6246,1.5213,0.3439
no_mig	Round_2_Replicate_19	-489920.86	979847.72	7633530.23	16659.71	4.4034,7.0269,0.4495
no_mig	Round_2_Replicate_20	-787623.8	1575253.6	21538527.91	40927.84	1.3671,1.1259,0.3246
no_mig	Round_3_Replicate_1	-196078.56	392163.12	781746.98	15898.32	16.4211,20.898,0.2086
no_mig	Round_3_Replicate_2	-108722.53	217451.06	204571.48	41377.76	3.4634,8.4305,0.0414
no_mig	Round_3_Replicate_3	-109223.39	218452.78	216630.84	37013.14	5.3184,14.9498,0.0482
no_mig	Round_3_Replicate_4	-362333.32	724672.64	4145010.77	10557.12	7.6952,25.7361,0.4687
no_mig	Round_3_Replicate_5	-186663.62	373333.24	700050.43	32113.78	3.4208,5.2064,0.0975
no_mig	Round_3_Replicate_6	-108753.25	217512.5	190349.67	45110.19	2.5291,18.7936,0.0297
