W	X	Y	Z	D	Z.value
AOcol	GHgam	KE	chri	0.017	3.8
AOcol	CMgam	KE	chri	0.018	4.2
AOcol	BFgam	KE	chri	0.019	4.5
AOcol	GNgam	KE	chri	0.021	4.9
AOcol	GQgam	KE	chri	0.014	3.6
AOcol	UGgam	KE	chri	0.008	1.7
AOcol	GAgam	KE	chri	0.003	0.9
AOcol	FRgam	KE	chri	-0.054	-8.5
BFcol	GHgam	KE	chri	0.002	0.4
BFcol	CMgam	KE	chri	0.003	0.6
BFcol	BFgam	KE	chri	0.004	0.9
BFcol	GNgam	KE	chri	0.006	1.3
BFcol	GQgam	KE	chri	-0.001	-0.2
BFcol	UGgam	KE	chri	-0.007	-1.2
BFcol	GAgam	KE	chri	-0.012	-2.4
BFcol	FRgam	KE	chri	-0.068	-9.5
GNcol	GHgam	KE	chri	-0.007	-1.4
GNcol	CMgam	KE	chri	-0.006	-1.1
GNcol	BFgam	KE	chri	-0.005	-0.9
GNcol	GNgam	KE	chri	-0.003	-0.6
GNcol	GQgam	KE	chri	-0.010	-1.8
GNcol	UGgam	KE	chri	-0.015	-2.4
GNcol	GAgam	KE	chri	-0.020	-3.7
GNcol	FRgam	KE	chri	-0.076	-9.4
GHcol	GHgam	KE	chri	0.007	1.5
GHcol	CMgam	KE	chri	0.008	1.6
GHcol	BFgam	KE	chri	0.009	1.9
GHcol	GNgam	KE	chri	0.011	2.2
GHcol	GQgam	KE	chri	0.004	0.9
GHcol	UGgam	KE	chri	-0.001	-0.2
GHcol	GAgam	KE	chri	-0.006	-1.2
GHcol	FRgam	KE	chri	-0.062	-8.1
CIcol	GHgam	KE	chri	0.003	0.6
CIcol	CMgam	KE	chri	0.004	0.8
CIcol	BFgam	KE	chri	0.005	1.1
CIcol	GNgam	KE	chri	0.007	1.5
CIcol	UGgam	KE	chri	-0.005	-0.9
CIcol	GAgam	KE	chri	-0.010	-2.1
CIcol	FRgam	KE	chri	-0.066	-8.9
CIcol	GQgam	KE	chri	0.0001 	1.0
