W	X	Y	Z	D	SE	Z.value
GHgam	 GAgam	 AOcol	 chri)	-0.024	0.0036	-6.5
GHgam	 GAgam	 BFcol	 chri)	-0.006	0.0026	-2.4
GHgam	 GAgam	 CIcol	 chri)	-0.006	0.0024	-2.4
GHgam	 GAgam	 GHcol	 chri)	-0.006	0.0024	-2.6
GHgam	 GAgam	 GNcol	 chri)	-0.006	0.0026	-2.2
CMgam	 GAgam	 AOcol	 chri)	-0.026	0.0036	-7.2
CMgam	 GAgam	 BFcol	 chri)	-0.011	0.0026	-4.3
CMgam	 GAgam	 CIcol	 chri)	-0.012	0.0027	-4.6
CMgam	 GAgam	 GHcol	 chri)	-0.013	0.0027	-4.8
CMgam	 GAgam	 GNcol	 chri)	-0.012	0.0027	-4.4
BFgam	 GAgam	 AOcol	 chri)	-0.027	0.0038	-7.1
BFgam	 GAgam	 BFcol	 chri)	-0.009	0.0028	-3.1
BFgam	 GAgam	 CIcol	 chri)	-0.01	0.0028	-3.7
BFgam	 GAgam	 GHcol	 chri)	-0.011	0.0029	-3.8
BFgam	 GAgam	 GNcol	 chri)	-0.01	0.0028	-3.7
GNgam	 GAgam	 AOcol	 chri)	-0.028	0.0038	-7.5
GNgam	 GAgam	 BFcol	 chri)	-0.011	0.0026	-4.3
GNgam	 GAgam	 CIcol	 chri)	-0.012	0.0026	-4.7
GNgam	 GAgam	 GHcol	 chri)	-0.013	0.0026	-4.9
GNgam	 GAgam	 GNcol	 chri)	-0.012	0.0026	-4.5
GQgam	 GAgam	 AOcol	 chri)	-0.006	0.0029	-2
GQgam	 GAgam	 BFcol	 chri)	-0.001	0.0022	-0.4
GQgam	 GAgam	 CIcol	 chri)	-0.001	0.0023	-0.6
GQgam	 GAgam	 GHcol	 chri)	-0.001	0.0024	-0.6
GQgam	 GAgam	 GNcol	 chri)	-0.002	0.0024	-0.7
UGgam	 GAgam	 AOcol	 chri)	-0.024	0.0032	-7.7
UGgam	 GAgam	 BFcol	 chri)	-0.012	0.0022	-5.4
UGgam	 GAgam	 CIcol	 chri)	-0.013	0.0023	-5.7
UGgam	 GAgam	 GHcol	 chri)	-0.014	0.0024	-5.9
UGgam	 GAgam	 GNcol	 chri)	-0.013	0.0024	-5.3
FRgam	 GAgam	 AOcol	 chri)	-0.016	0.0041	-3.9
FRgam	 GAgam	 BFcol	 chri)	-0.008	0.0038	-2.2
FRgam	 GAgam	 CIcol	 chri)	-0.011	0.0038	-2.9
FRgam	 GAgam	 GHcol	 chri)	-0.011	0.0038	-2.9
FRgam	 GAgam	 GNcol	 chri)	-0.011	0.0038	-2.8
