W,X,Y,Z,D,SE,Z.value
GHgam, FRgam, AOcol, chri,-0.008,5,-1.6
GHgam, FRgam, BFcol, chri,0.002,0.0042,0.5
GHgam, FRgam, CIcol, chri,0.005,0.0041,1.2
GHgam, FRgam, GHcol, chri,0.005,4,1.2
GHgam, FRgam, GNcol, chri,0.005,0.0042,1.1
CMgam, FRgam, AOcol, chri,-0.01,0.0051,-2
CMgam, FRgam, BFcol, chri,-0.003,0.0043,-0.6
CMgam, FRgam, CIcol, chri,-0.002,0.0044,-0.4
CMgam, FRgam, GHcol, chri,-0.002,0.0045,-0.4
CMgam, FRgam, GNcol, chri,-0.001,0.0045,-0.3
BFgam, FRgam, AOcol, chri,-0.011,0.0051,-2.2
BFgam, FRgam, BFcol, chri,0,0.0042,-0.1
BFgam, FRgam, CIcol, chri,0,0.0042,0.1
BFgam, FRgam, GHcol, chri,0,0.0043,0
BFgam, FRgam, GNcol, chri,0,0.0044,0
GNgam, FRgam, AOcol, chri,-0.012,0.0052,-2.4
GNgam, FRgam, BFcol, chri,-0.003,0.0042,-0.6
GNgam, FRgam, CIcol, chri,-0.002,0.0043,-0.4
GNgam, FRgam, GHcol, chri,-0.002,0.0043,-0.5
GNgam, FRgam, GNcol, chri,-0.001,0.0044,-0.3
GQgam, FRgam, AOcol, chri,0.01,0.0052,1.9
GQgam, FRgam, BFcol, chri,0.008,0.0044,1.7
GQgam, FRgam, CIcol, chri,0.009,0.0044,2.1
GQgam, FRgam, GHcol, chri,0.01,0.0044,2.2
GQgam, FRgam, GNcol, chri,0.009,0.0044,2
UGgam, FRgam, AOcol, chri,-0.008,0.0049,-1.7
UGgam, FRgam, BFcol, chri,-0.004,0.0043,-0.9
UGgam, FRgam, CIcol, chri,-0.003,0.0044,-0.6
UGgam, FRgam, GHcol, chri,-0.003,0.0044,-0.6
UGgam, FRgam, GNcol, chri,-0.002,0.0044,-0.5
GAgam, FRgam, AOcol, chri,0.016,0.0041,3.9
GAgam, FRgam, BFcol, chri,0.008,0.0038,2.2
GAgam, FRgam, CIcol, chri,0.011,0.0038,2.9
GAgam, FRgam, GHcol, chri,0.011,0.0038,2.9
GAgam, FRgam, GNcol, chri,0.011,0.0038,2.8
