Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013162:CD80-like, immunoglobulin C2-set	4	3.10077519379845	0.005466130592747131	AGAP001674, AGAP001824, AGAP013021, AGAP000937	118	32	10373	10.98834745762712	0.7660149385072648	0.7660149385072648	6.933647273552735
UP_KEYWORDS	Disulfide bond	13	10.077519379844961	0.007386366633901304	AGAP010290, AGAP001824, AGAP000974, AGAP000962, AGAP007761, AGAP001026, AGAP001015, AGAP001674, AGAP003252, AGAP002186, AGAP013021, AGAP001082, AGAP005165	129	516	12323	2.406691304609098	0.40043499798266147	0.40043499798266147	7.364739818126898
INTERPRO	IPR007110:Immunoglobulin-like domain	7	5.426356589147287	0.010254940459064941	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902, AGAP013021, AGAP000938	118	163	10373	3.7751377768534886	0.934884289318015	0.7448221979050981	12.640311859338349
GOTERM_BP_DIRECT	GO:0016055~Wnt signaling pathway	3	2.3255813953488373	0.014091268022945025	AGAP010290, AGAP003997, AGAP001043	54	18	5192	16.02469135802469	0.7475582576907369	0.7475582576907369	14.496457520082618
UP_KEYWORDS	Membrane	38	29.457364341085274	0.0230497419611026	AGAP002790, AGAP001076, AGAP000945, AGAP001824, AGAP003349, AGAP000962, AGAP000982, AGAP000958, AGAP001092, AGAP001027, AGAP010184, AGAP001674, AGAP003252, AGAP004902, AGAP001044, AGAP000837, AGAP010788, AGAP001022, AGAP001004, AGAP001070, AGAP001041, AGAP001043, AGAP001069, AGAP001084, AGAP000974, AGAP009805, AGAP013186, AGAP000998, AGAP000832, AGAP002232, AGAP013136, AGAP001039, AGAP002186, AGAP001038, AGAP010295, AGAP007732, AGAP010293, AGAP001030	129	2607	12323	1.3924169573271723	0.7999220708205748	0.5526992855142916	21.386487197583715
UP_KEYWORDS	Transmembrane helix	37	28.68217054263566	0.026500603452390976	AGAP002790, AGAP001076, AGAP000945, AGAP001824, AGAP003349, AGAP000962, AGAP000982, AGAP000958, AGAP001092, AGAP001027, AGAP010184, AGAP001674, AGAP003252, AGAP004902, AGAP001044, AGAP000837, AGAP010788, AGAP001022, AGAP001004, AGAP001070, AGAP001041, AGAP001069, AGAP001084, AGAP000974, AGAP009805, AGAP013186, AGAP000998, AGAP000832, AGAP002232, AGAP013136, AGAP001039, AGAP002186, AGAP001038, AGAP010295, AGAP007732, AGAP010293, AGAP001030	129	2546	12323	1.3882576103570277	0.8432663027087118	0.46083611642786215	24.20512632960543
INTERPRO	IPR013783:Immunoglobulin-like fold	7	5.426356589147287	0.026652379535229098	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902, AGAP013021, AGAP000938	118	202	10373	3.0462745427085083	0.9992219411492641	0.9080247841360601	29.82325069573928
UP_KEYWORDS	Transmembrane	37	28.68217054263566	0.02679319235017997	AGAP002790, AGAP001076, AGAP000945, AGAP001824, AGAP003349, AGAP000962, AGAP000982, AGAP000958, AGAP001092, AGAP001027, AGAP010184, AGAP001674, AGAP003252, AGAP004902, AGAP001044, AGAP000837, AGAP010788, AGAP001022, AGAP001004, AGAP001070, AGAP001041, AGAP001069, AGAP001084, AGAP000974, AGAP009805, AGAP013186, AGAP000998, AGAP000832, AGAP002232, AGAP013136, AGAP001039, AGAP002186, AGAP001038, AGAP010295, AGAP007732, AGAP010293, AGAP001030	129	2548	12323	1.387167926204471	0.8464836856969052	0.3740514557063306	24.439861138079866
INTERPRO	IPR024810:Mab-21 domain	2	1.550387596899225	0.0334608060209781	AGAP001033, AGAP001034	118	3	10373	58.6045197740113	0.9998788957238571	0.8950965262542058	35.993006900346444
SMART	SM01265:SM01265	2	1.550387596899225	0.03655938460241585	AGAP001033, AGAP001034	61	3	4864	53.15846994535519	0.9410211558593352	0.9410211558593352	32.42440808601934
