chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g
X	AGAP000975			0	32	5	34.5472114557
X	AGAP001041	18	1	1.02925759401	18	3	19.2408225668
X	AGAP001051			0	8	2	14.937979526
X	AGAP000949			0	48	4	14.7349048414
X	AGAP001083	38	1	0.48564289087	28	3	12.9516551621
X	AGAP001042			0	11	2	11.5188420465
X	AGAP001047	30	1	0.627116348232	40	3	9.24669937802
X	AGAP001068	88	1	0.131799545157	88	4	8.01565543763
3R	AGAP010289	21	1	0.891693407979	17	2	7.89840525516
X	AGAP000983	85	1	0.142990995139	111	4	6.25764760739
X	AGAP000837	145	1	0.00675053743851	260	6	5.93667019162
X	AGAP013317	14	1	1.2900096636	27	2	5.16530063483
X	AGAP001018	27	1	0.698271901735	28	2	4.99079339522
X	AGAP013093	28	1	0.673098135441	29	2	4.82733475359
X	AGAP013126			0	3	1	4.58422708619
2R	AGAP002790			0	5805	1	4.32977360747
3L	AGAP010781	487	3	0.255797800284	348	6	4.09838350978
3R	AGAP010307	117	1	0.0480408907917	167	4	3.94267796117
2R	AGAP001824	7754	19	0.854549247569	10514	13	3.54548918319
X	AGAP000978	51	1	0.339057223251	43	2	3.28893533245
3R	AGAP010295	502	3	0.230770641794	538	7	3.23778086892
3R	AGAP010286	378	3	0.499088669767	428	6	3.07893124878
X	AGAP000984			0	221	4	2.79521449349
X	AGAP001027	173	2	0.585641619642	243	4	2.47079633457
2L	AGAP005170			0	3291	1	2.38656084637
X	AGAP000950	55	1	0.305886218263	62	2	2.25780497526
2R	AGAP013186	105	1	0.0782424378609	64	2	2.18282629908
X	AGAP000931	57	1	0.290758502515	69	2	2.01322767787
X	AGAP013136	47	1	0.376861405083	69	2	2.01322767787
X	AGAP001084	254	2	0.277596396	291	4	1.93050200232
2R	AGAP002628			0	2943	2	1.71895186287
X	AGAP000979			0	83	2	1.64094071376
3L	AGAP010780	258	1	0.176524284978	196	3	1.60218154114
3R	AGAP010283			0	198	3	1.58050268358
X	AGAP001039	73	1	0.194974524337	93	2	1.43974187814
2R	AGAP003400			0	1963	1	1.32216743289
2R	AGAP004251			0	1947	1	1.30902980497
