chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
3R	AGAP007732	63	24	132.260950758	90	33	244.017153823	376.278104581
X	AGAP001076	14	9	68.1163676021	11	10	128.4208181	196.53718570209998
X	AGAP001035	7	13	170.783157981	20	4	15.1774802724	185.9606382534
X	AGAP013341	4	10	141.8166462	6	4	37.2707000598	179.0873462598
3R	AGAP007736	476	31	29.6046310191	401	51	146.455238388	176.0598694071
3R	AGAP007731	13	11	99.745319935	27	10	71.6592941205	171.4046140555
X	AGAP001023	29	6	18.1451751093	54	18	122.716837351	140.86201246029998
X	AGAP001029	2	5	64.4344783209	17	4	17.4400659815	81.8745443024
X	AGAP001026	5	5	44.8446261274	7	4	33.8354591697	78.68008529709999
X	AGAP001043	69	12	32.8769410807	73	10	30.3269789835	63.2039200642
X	AGAP001045	1	2	17.2948151648	3	3	32.0753084498	49.3701236146
X	AGAP000958	38	6	14.1361326808	57	9	30.9924420339	45.1285747147
X	AGAP001030	4	3	20.104150953	7	3	19.1759303965	39.2800813495
X	AGAP001004	7	3	13.997187447	19	5	25.0521793815	39.0493668285
X	AGAP001033	1	2	17.2948151648	6	3	21.3299518369	38.6247670017
X	AGAP001050	3	2	10.4242763622	10	4	26.4669900238	36.891266386
X	AGAP013093	1	2	17.2948151648	2	2	17.682770286	34.9775854508
X	AGAP001090	9	4	20.7853172888	13	3	11.8833517986	32.668669087400005
X	AGAP001034	4	3	20.104150953	5	2	10.1554735691	30.2596245221
X	AGAP000962	141	12	15.6778565379	263	12	11.0223873471	26.700243885
