chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP011913	29	1	0.498807978936
3L	AGAP011479	489	1	0.193539918983
3L	AGAP011979	60	3	4.54050755879
3R	AGAP007735	17	2	5.93224848319
3R	AGAP007732	266	32	146.271040488
3R	AGAP007731	89	10	41.2863891475
3R	AGAP010307	117	2	0.734901134733
3R	AGAP010293	76	1	0.10202177826
3R	AGAP007759	206	4	2.08568636904
3R	AGAP007740	12	1	1.17790347742
3R	AGAP007736	1072	72	177.93909465
3R	AGAP007762	45	5	18.8183505356
3R	AGAP007761	405	19	32.3548616086
3R	AGAP007766	47	1	0.269723317428
3R	AGAP007743	165	1	0.109121495853
3R	AGAP007767	69	1	0.131948418058
3R	AGAP007733	16	1	0.908402199771
3R	AGAP009202	61	1	0.172692461041
3R	AGAP007737	53	2	1.94506814153
3R	AGAP009200	174	1	0.125716283823
3R	AGAP007754	120	4	4.11951372618
3R	AGAP009726	2868	1	2.81251386717
2R	AGAP002790	2948	2	2.49225620058
2R	AGAP002824	1425	8	0.175525770201
2R	AGAP003459	69	4	7.56042706794
2R	AGAP002443	224	1	0.206516149613
2R	AGAP002336	63	2	1.60701917912
2R	AGAP004341	930	5	0.0570721450447
2R	AGAP013315	890	1	0.672073201187
2R	AGAP003355	624	1	0.358304638942
2R	AGAP004303	161	1	0.101632941461
2R	AGAP002628	846	2	0.295012144322
2R	AGAP002116	2170	3	1.33665248527
2R	AGAP004068	248	3	0.713791685709
2R	AGAP002226	1856	8	0.0206244676078
2R	AGAP003893	1468	1	1.32161210684
2R	AGAP003643	595	1	0.323262988802
2R	AGAP002232	322	7	4.46213218074
2R	AGAP001720	110	1	0.00167476850004
2R	AGAP001660	1233	1	1.0615020199
2R	AGAP002191	14	1	1.0266455545
2R	AGAP001825	45	2	2.31444428622
2R	AGAP003439	1311	1	1.14833773418
2R	AGAP013145	5217	10	2.10018210792
2R	AGAP002591	3435	2	2.9919006108
2R	AGAP004288	610	2	0.0522623162658
2R	AGAP004033	579	3	0.0229000342834
2R	AGAP003992	119	1	0.0178266589414
2R	AGAP004405	3002	1	2.9520351849
2R	AGAP002845	81	2	1.19663144474
2R	AGAP004228	2722	2	2.25932855455
2R	AGAP002741	3306	1	3.26725609485
2R	AGAP004399	141	2	0.550659087314
2R	AGAP002830	327	1	0.00982006014675
2R	AGAP004494	2026	4	0.88994347306
2R	AGAP002325	1140	2	0.604733154982
2R	AGAP002560	377	2	0.0553209117036
2R	AGAP013144	397	3	0.225504859111
2R	AGAP004154	2848	1	2.79165671043
2R	AGAP004244	859	2	0.308616867164
2R	AGAP002915	3022	8	0.766442567542
2R	AGAP004066	2426	8	0.326660789164
2R	AGAP004067	22	2	4.68285559614
2R	AGAP002838	43	1	0.306645254151
2R	AGAP002250	2611	1	2.54378789296
2R	AGAP003906	139	1	0.0590343864278
2R	AGAP004616	25	1	0.585614886872
2R	AGAP004092	1184	2	0.651249100546
2R	AGAP004437	372	1	0.0473181256695
2R	AGAP004280	2072	1	1.97415994093
2R	AGAP003986	1141	2	0.605790245244
2R	AGAP003901	1245	1	1.07489675452
2R	AGAP002828	374	1	0.049841486475
2R	AGAP002186	3619	8	1.25305797325
2R	AGAP003070	3886	1	3.86450048768
2R	AGAP003914	5618	2	5.20471561546
2R	AGAP002711	930	1	0.718240118932
2R	AGAP004361	287	2	0.0678797404464
2R	AGAP004642	200	3	1.02459146626
2R	AGAP004129	24	1	0.611101154169
2R	AGAP004023	80	1	0.0868083341797
2R	AGAP003857	129	2	0.634822576902
2R	AGAP003519	586	3	0.0298510683991
2R	AGAP003356	75	1	0.10602446617
2R	AGAP002916	396	3	0.227539203745
2R	AGAP001690	1739	5	0.386036853775
2R	AGAP002877	83	2	1.16130255819
2R	AGAP003982	60	2	1.6974413124
2R	AGAP002914	927	3	0.126609657707
2R	AGAP003997	1765	11	0.436455663824
2R	AGAP003335	1695	1	1.56913954684
2R	AGAP003806	186	2	0.326251752735
2R	AGAP004176	223	1	0.209272443478
2R	AGAP004119	699	1	0.448102002091
2R	AGAP002958	203	1	0.177095011831
2R	AGAP002677	4656	2	4.23392666826
2R	AGAP004015	42	1	0.316771865439
2R	AGAP013085	59	1	0.184244765448
2R	AGAP002907	121	1	0.0220722653015
2R	AGAP003976	324	1	0.0138315447483
2R	AGAP004644	135	1	0.0510019181433
2R	AGAP002924	1521	1	1.3796984659
2R	AGAP004224	125	1	0.0304752071611
2R	AGAP004273	888	3	0.0921743426332
2R	AGAP012965	645	1	0.383565644822
2R	AGAP002942	4419	1	4.40955542827
2R	AGAP004320	337	1	0.00306525229985
2R	AGAP003925	640	1	0.377559643183
2R	AGAP003255	62	1	0.167141862634
2R	AGAP004348	243	2	0.155386077414
2R	AGAP002133	71	1	0.122921123574
2R	AGAP002836	317	1	0.0234812887864
2R	AGAP012980	701	2	0.144606843435
2R	AGAP001775	187	1	0.149116018632
2R	AGAP003331	395	3	0.229584270364
2R	AGAP004000	672	2	0.114947715953
2R	AGAP001638	122	2	0.690981927074
2R	AGAP002573	2670	1	2.60562173387
2R	AGAP001683	6707	32	0.0925781119469
2R	AGAP002633	118	1	0.0156924735933
2R	AGAP004430	192	1	0.1579513929
2R	AGAP002807	447	1	0.141403442342
2R	AGAP004353	751	1	0.509708159584
2R	AGAP002829	191	1	0.156191248219
2R	AGAP004169	3023	3	2.19546437636
2R	AGAP013117	19	1	0.771897036121
2R	AGAP013294	960	3	0.156138763929
2R	AGAP004333	194	3	1.07397209836
2R	AGAP003944	469	1	0.168765199289
2R	AGAP004453	2273	5	0.846554105385
2R	AGAP004078	258	4	1.50256173618
2R	AGAP003933	88	2	1.07952221596
2R	AGAP003931	1123	1	0.938067931868
2R	AGAP003805	77	2	1.27238344816
2R	AGAP004335	1481	3	0.650780968547
2R	AGAP003584	95	1	0.0389781339678
2R	AGAP001271	364	2	0.0389017232802
2R	AGAP004541	227	1	0.198385385013
2R	AGAP004564	181	1	0.138395607342
2R	AGAP004369	1671	1	1.54311648106
2R	AGAP002825	299	1	0.0503200786511
2R	AGAP003968	73	1	0.114289183415
2R	AGAP004230	775	8	1.48252693283
2R	AGAP002793	1823	1	1.70740783779
2R	AGAP013186	38	1	0.361623064064
2R	AGAP001826	1256	3	0.432403278239
2R	AGAP004458	239	1	0.167802672665
2R	AGAP004088	293	1	0.0599786801979
2R	AGAP004112	1719	1	1.59513069072
2R	AGAP002896	745	1	0.502625529425
2R	AGAP003924	625	1	0.35950968845
2R	AGAP002822	155	1	0.0902607029646
2R	AGAP002315	8914	1	8.93098534023
2R	AGAP001919	45	1	0.287510665112
2R	AGAP004657	13	2	7.51905533928
2R	AGAP002329	176	1	0.129358545968
2R	AGAP004637	66	4	7.91737439488
2R	AGAP003115	995	1	0.792790429569
2R	AGAP004311	187	1	0.149116018632
2R	AGAP001821	40	1	0.338269552435
2R	AGAP004106	3116	10	0.450906880257
2R	AGAP004270	91	1	0.0505167893884
2R	AGAP004039	1270	8	0.340495480595
2R	AGAP001125	37	1	0.374080591613
2R	AGAP004096	824	1	0.595373417274
2R	AGAP004034	191	2	0.307448943836
2R	AGAP002433	114	1	0.00707739982202
2R	AGAP004643	18	4	26.6979425803
2R	AGAP004032	443	1	0.136416412979
2R	AGAP003655	56	1	0.202808291872
2R	AGAP002732	681	1	0.426655457493
2R	AGAP002832	990	2	0.4463253508
2R	AGAP004275	51	1	0.237612983163
2R	AGAP003358	84	1	0.0727492613753
2R	AGAP003479	270	3	0.607707919146
2R	AGAP002927	666	1	0.408733727854
2R	AGAP003987	56	1	0.202808291872
2R	AGAP004241	115	1	0.00924313457719
2R	AGAP004050	2642	3	1.81155823806
2R	AGAP003735	923	1	0.710177401266
2R	AGAP001674	1186	5	0.0272966440197
2R	AGAP002858	2833	3	2.00400432952
2R	AGAP004052	2551	3	1.71989784037
2R	AGAP003965	1899	1	1.78911824151
2R	AGAP004251	1165	4	0.124372826089
2R	AGAP001684	169	2	0.397916556146
2R	AGAP004209	543	1	0.259954515624
2R	AGAP003967	689	1	0.436195187309
