chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP011094	126	1	0.137222990581
3L	AGAP012056	254	1	0.0360787295682
3L	AGAP012275	121	1	0.124257799218
3L	AGAP012289	107	1	0.0868003519324
3L	AGAP011479	368	2	0.0325229006841
3R	AGAP007735	10	2	6.59880983049
3R	AGAP010307	65	1	0.0441304144016
3R	AGAP009933	520	2	0.188424283431
3R	AGAP009959	107	2	0.476445590004
3R	AGAP007759	83	2	0.715349732498
3R	AGAP009740	62	1	0.0569119587548
3R	AGAP009725	1666	1	2.30425740343
3R	AGAP007743	71	3	2.50747242304
3R	AGAP007731	34	11	80.2241867194
3R	AGAP007767	29	1	0.319082455688
3R	AGAP009126	310	1	0.136618489103
3R	AGAP009257	382	1	0.263774025015
3R	AGAP010282	41	1	0.184802750025
3R	AGAP010292	66	1	0.0400720939542
3R	AGAP009683	1940	1	2.71587066344
3R	AGAP007732	94	23	138.13159028
3R	AGAP010089	19	1	0.528656240408
3R	AGAP010290	116	2	0.410651554657
3R	AGAP007765	93	3	1.8044753751
3R	AGAP007736	694	70	181.366668346
3R	AGAP007771	213	2	0.0393642698402
3R	AGAP009183	260	1	0.0469085290994
3R	AGAP007761	264	9	6.51810526922
3R	AGAP007766	37	4	9.6461071569
3R	AGAP009189	405	1	0.303869894522
3R	AGAP009726	1441	2	1.57383026997
3R	AGAP007776	2860	1	4.07554376561
3R	AGAP007734	23	3	8.02992110265
3R	AGAP007830	16	1	0.631976577173
3R	AGAP009202	49	1	0.125905005855
2R	AGAP002306	38	1	0.211875346391
2R	AGAP002291	631	1	0.686293393883
2R	AGAP004095	43	1	0.168452387781
2R	AGAP002790	2027	7	0.893285447726
2R	AGAP001694	144	1	0.182382695254
2R	AGAP003459	52	1	0.10759646187
2R	AGAP001766	30	1	0.304623784079
2R	AGAP002794	118	1	0.116380036144
2R	AGAP004341	509	4	0.0452026896454
2R	AGAP013315	587	2	0.288084495632
2R	AGAP003355	462	1	0.402202672567
2R	AGAP004049	149	1	0.194554138496
2R	AGAP004616	11	1	0.903123764863
2R	AGAP013357	221	1	0.0249981541316
2R	AGAP004359	18	1	0.559895064437
2R	AGAP002824	718	27	22.4878156879
2R	AGAP004639	6	1	1.51201216176
2R	AGAP002737	476	1	0.426140462765
2R	AGAP004068	182	2	0.11713224645
2R	AGAP002226	1002	8	0.168302010841
2R	AGAP004061	61	1	0.0613889958482
2R	AGAP003972	127	1	0.139792385103
2R	AGAP001780	277	1	0.0775250949374
2R	AGAP004297	36	1	0.231912301458
2R	AGAP003346	11	1	0.903123764863
2R	AGAP003479	134	8	11.3796724617
2R	AGAP004577	316	1	0.147309846473
2R	AGAP004446	203	1	0.064618166179
2R	AGAP001660	896	2	0.754262978351
2R	AGAP002325	984	2	0.887270418803
2R	AGAP004088	160	1	0.193721584142
2R	AGAP001825	26	1	0.367830533294
2R	AGAP002802	460	1	0.398776325487
2R	AGAP004117	940	9	0.493260284949
2R	AGAP002126	35	1	0.242617747716
2R	AGAP013145	3291	22	0.0267180085548
2R	AGAP002557	610	1	0.651518994882
2R	AGAP004000	472	4	0.101715663682
2R	AGAP003623	681	1	0.768574235113
2R	AGAP003475	239	1	0.00896004239528
2R	AGAP004288	345	2	0.0718900323711
2R	AGAP004033	573	7	0.836669677143
2R	AGAP003992	97	2	0.562703496138
2R	AGAP002591	2264	2	2.79157579331
2R	AGAP002135	852	1	1.04529007028
2R	AGAP001751	2261	8	0.93624933748
2R	AGAP003735	668	9	1.35284301827
2R	AGAP004249	77	2	0.796305674023
2R	AGAP002555	74	1	0.0107266075235
2R	AGAP002741	2540	1	3.60565943189
2R	AGAP002272	960	1	1.21701874997
2R	AGAP002830	149	1	0.194554138496
2R	AGAP003882	160	1	0.193721584142
2R	AGAP004494	1480	6	0.478775635193
2R	AGAP002228	74	1	0.0107266075235
2R	AGAP013123	60	1	0.06598211237
2R	AGAP002560	214	3	0.465212586254
2R	AGAP013144	184	2	0.111359450519
