chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
3R	AGAP007736	681	71	181.682807614	1072	73	182.673353372	364.356160986
3R	AGAP007732	91	23	136.081502674	266	32	146.113765502	282.195268176
X	AGAP001076	44	12	73.5916335543	25	10	121.945975984	195.5376095383
X	AGAP001035	23	14	156.43659735	28	5	29.0075928251	185.4441901751
X	AGAP013341	9	10	152.763730124	18	4	26.6792228057	179.4429529297
X	AGAP001023	57	6	14.4353741539	100	20	144.943785775	159.3791599289
2R	AGAP013121	127	24	110.163784486	167	8	13.4589981806	123.6227826666
3R	AGAP007731	32	11	80.6837701301	89	10	41.2531184862	121.9368886163
2R	AGAP004643	18	7	53.8654341566	18	4	26.6792228057	80.5446569623
X	AGAP001026	19	6	38.5232544454	12	4	36.8860136288	75.4092680742
X	AGAP001092	4	3	29.3983852886	1	2	37.0507259408	66.4491112294
X	AGAP001091	34	5	16.1511828435	39	6	31.4175416748	47.5687245183
X	AGAP001043	160	12	21.4597932588	153	10	23.9056218522	45.365415111000004
X	AGAP000893	106	11	27.5502285474	130	8	17.653763137	45.203991684399995
X	AGAP001029	16	4	19.673855205	24	4	20.8353844312	40.5092396362
X	AGAP001033	2	2	18.8943232593	13	3	18.9776377051	37.8719609644
X	AGAP000974	178	11	15.7976327057	270	11	15.6878430372	31.4854757429
X	AGAP001034	8	3	18.6409740125	7	2	12.4874655879	31.1284396004
X	AGAP001061	124	9	15.2845404223	272	10	12.5927905137	27.877330936
X	AGAP001036	3	2	15.1499927508	8	2	11.2487157595	26.398708510299997
