chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP010312	271	1	0.194208144502
3L	AGAP010313	175	3	1.7438325729
3L	AGAP010788	1144	1	0.682103622391
3L	AGAP010316	14	1	1.28908271347
3L	AGAP010781	366	1	0.0688277134038
3L	AGAP010780	193	2	0.48652709536
3L	AGAP010317	28	1	0.672571683358
3R	AGAP010295	541	7	2.97932865354
3R	AGAP010294	95	3	3.60931541409
3R	AGAP010292	146	1	0.00862145249029
3R	AGAP010302	51	1	0.338725941884
3R	AGAP010283	203	3	1.42837192458
3R	AGAP010308	58	5	18.8978164551
3R	AGAP007762	128	4	5.05799110639
3R	AGAP010147	708	1	0.276262539572
3R	AGAP010293	81	1	0.158699151503
3R	AGAP007737	117	6	13.7836407188
3R	AGAP007733	64	1	0.243756895916
3R	AGAP007732	616	31	73.7207529799
3R	AGAP007736	2256	47	37.867950815
3R	AGAP007734	183	1	0.068579222708
3R	AGAP009932	641	1	0.211724739411
3R	AGAP007731	194	8	14.9445200716
3R	AGAP010290	186	4	3.26157720362
3R	AGAP009805	879	1	0.438125388926
3R	AGAP010184	4542	3	2.73930320325
3R	AGAP009934	50	1	0.347698149748
3R	AGAP010297	65	1	0.237765142544
3R	AGAP010286	398	5	2.0058579444
3R	AGAP010289	16	2	7.94327927076
3R	AGAP010307	165	2	0.63038923896
3R	AGAP007761	922	6	0.660790224954
2R	AGAP013517	15	1	1.21266374447
2R	AGAP002186	8873	2	6.55137790026
2R	AGAP001824	10455	13	3.84548011249
2R	AGAP004050	3900	1	3.01418082862
2R	AGAP003358	164	1	0.0385002787853
2R	AGAP004249	220	1	0.123733221496
2R	AGAP003349	964	1	0.517205747462
2R	AGAP001674	3196	1	2.43697737585
2R	AGAP002638	211	1	0.110679085691
2R	AGAP013186	63	2	2.10442694533
2R	AGAP003997	3200	6	0.804487764895
2R	AGAP004052	3789	1	2.92362732711
2R	AGAP004273	1421	1	0.930309874036
2R	AGAP003400	1980	1	1.41675595874
2R	AGAP002790	5981	1	4.69058620119
2R	AGAP001683	17075	19	6.60497269199
2R	AGAP002152	1082	1	0.625668911556
2R	AGAP003070	8947	1	7.03978424325
2R	AGAP004067	37	1	0.500028030692
2R	AGAP013145	12777	1	10.0401096014
2R	AGAP003519	1207	1	0.739092536671
2R	AGAP001690	4164	1	3.22896823257
2R	AGAP013121	268	2	0.241713551132
2R	AGAP001569	193	1	0.083893427029
2R	AGAP002232	939	4	0.03532812378
2R	AGAP002628	2894	2	1.79279361454
2R	AGAP003252	134	1	0.0125345093702
2R	AGAP004251	1900	1	1.34805969666
2R	AGAP004169	4910	1	3.83212682784
2L	AGAP005073	94	2	1.3411727221
2L	AGAP005165	7346	5	4.17928311604
2L	AGAP004827	829	3	0.0960016819569
2L	AGAP004902	1744	9	0.453691635124
2L	AGAP004914	46	1	0.386806801928
2L	AGAP005170	3336	1	2.552350883
X	AGAP001073	623	1	0.194272973724
X	AGAP000834	315	1	0.147565978863
X	AGAP001025	107	1	0.0726440153817
X	AGAP000970	186	1	0.0732084076637
X	AGAP000904	1256	1	0.783185019388
X	AGAP000955	366	1	0.0688277134038
X	AGAP000950	59	2	2.25681522127
X	AGAP001042	11	2	10.9790390971
X	AGAP000994	87	1	0.135235354987
X	AGAP001034	31	2	4.3110223446
X	AGAP001023	283	19	61.6862296845
X	AGAP001004	112	4	5.86635023622
X	AGAP001061	874	9	2.62576386963
X	AGAP001027	236	4	2.40599996865
X	AGAP001032	106	2	1.1591295776
X	AGAP000981	155	3	2.03612020158
X	AGAP001031	17	1	1.08359065663
X	AGAP000948	25	1	0.753206035301
X	AGAP000934	66	2	2.0014916646
X	AGAP000984	238	4	2.37909836322
X	AGAP000949	48	4	14.006312147
X	AGAP001033	36	3	9.73082882405
X	AGAP000893	506	1	0.0796831780237
X	AGAP001028	67	2	1.96909593922
X	AGAP000979	83	2	1.55083812262
X	AGAP001090	67	3	5.24332476046
X	AGAP001051	7	2	15.8046526881
X	AGAP000819	41	2	3.27884079041
X	AGAP000932	587	4	0.486701454876
X	AGAP000829	354	1	0.0853899683924
X	AGAP000941	316	2	0.143052598292
X	AGAP001039	90	2	1.41187381951
X	AGAP000906	433	3	0.359974631904
X	AGAP000915	3266	7	0.620271113641
X	AGAP000973	467	2	0.0428803572015
X	AGAP000995	47	1	0.376509245795
X	AGAP000998	2682	6	0.469704322959
X	AGAP001022	268	2	0.241713551132
X	AGAP000826	200	1	0.0944234434076
X	AGAP013126	3	1	4.38285503178
X	AGAP000975	34	5	31.1350554672
X	AGAP000939	187	1	0.0747446973168
X	AGAP001037	31	2	4.3110223446
X	AGAP000835	129	1	0.0221653897146
X	AGAP001076	80	10	58.3509711217
X	AGAP001052	929	5	0.296414005068
X	AGAP000986	163	1	0.036878011121
X	AGAP001043	501	9	6.18463205436
X	AGAP000996	143	3	2.24909914008
X	AGAP000962	2007	12	0.989304109987
X	AGAP000937	22	1	0.852516769973
X	AGAP001064	106	1	0.075323644184
X	AGAP001035	113	5	9.58967973961
X	AGAP000847	3258	5	1.10361465686
X	AGAP013093	30	2	4.44880969846
X	AGAP000940	596	5	0.991004058368
X	AGAP001093	247	3	1.07331158032
X	AGAP000832	90	1	0.124450584309
X	AGAP001084	309	4	1.64669726309
X	AGAP001047	46	3	7.67017405314
X	AGAP001050	29	4	22.4387759057
X	AGAP000833	203	2	0.444162760944
X	AGAP000982	207	3	1.39005373263
X	AGAP001038	27	1	0.697729929245
X	AGAP001048	468	2	0.0438737759347
X	AGAP000938	579	5	1.05003848738
X	AGAP000931	74	2	1.7653270259
X	AGAP000974	913	11	4.17597936614
X	AGAP013317	26	2	5.09614637805
X	AGAP001092	19	2	6.80893877284
X	AGAP001094	148	2	0.742248419142
X	AGAP001082	190	2	0.500045745909
X	AGAP013341	33	4	19.9474744956
X	AGAP001015	1039	4	0.0324186528935
X	AGAP013021	625	5	0.898121213438
X	AGAP001026	38	4	17.4980133372
X	AGAP000935	75	1	0.185134512032
X	AGAP001053	284	7	7.1467495054
X	AGAP000837	259	6	5.61282030641
X	AGAP000969	1400	2	0.562063665041
X	AGAP001083	26	3	13.1958828478
X	AGAP000831	34	1	0.548821297155
X	AGAP001068	102	4	6.49429145686
X	AGAP001029	78	4	8.61982225884
X	AGAP001030	37	3	9.47888568956
X	AGAP000898	502	3	0.230144961141
X	AGAP000943	594	5	0.997764317293
X	AGAP001091	132	6	12.127968145
X	AGAP001070	367	5	2.26612379012
X	AGAP001036	19	2	6.80893877284
X	AGAP000983	110	4	5.98320084447
X	AGAP000978	44	2	3.05473855996
X	AGAP001018	28	2	4.75133205028
X	AGAP001044	17	1	1.08359065663
X	AGAP001045	31	3	11.2106430974
X	AGAP000958	443	10	9.29929103233
X	AGAP000945	306	2	0.161185127877
X	AGAP013136	67	2	1.96909593922
X	AGAP001041	16	3	20.2722378349
X	AGAP001069	221	1	0.125170774279
