chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP010689	410	1	0.380407777062
3L	AGAP010788	477	1	0.505389288695
3L	AGAP010313	51	3	3.26222692422
3L	AGAP010780	69	1	0.00489829215737
3L	AGAP010316	4	1	1.89717023479
3L	AGAP010317	11	1	0.823886240214
3L	AGAP011979	50	1	0.0912607923567
3L	AGAP010744	29	4	11.0035709482
3L	AGAP010794	100	1	0.0943554757839
3L	AGAP010781	153	4	1.65945871756
3L	AGAP010312	123	1	0.160073050964
3R	AGAP007731	41	10	51.8093490646
3R	AGAP007738	31	5	16.5881423296
3R	AGAP009189	330	1	0.228119908186
3R	AGAP007761	392	8	2.29569295125
3R	AGAP009788	55	1	0.0640728538911
3R	AGAP010289	7	1	1.2227867658
3R	AGAP009940	264	2	0.102421000965
3R	AGAP007756	123	2	0.298181606249
3R	AGAP010302	28	1	0.293600660746
3R	AGAP010286	138	7	7.26817349598
3R	AGAP007737	45	6	17.1121703985
3R	AGAP007742	40	1	0.161018886498
3R	AGAP010307	70	3	2.27360584674
3R	AGAP010290	74	4	4.20041686771
3R	AGAP007733	23	1	0.380232365464
3R	AGAP010283	91	3	1.63905863193
3R	AGAP010295	251	3	0.230663954779
3R	AGAP010147	257	1	0.0859769288151
3R	AGAP007732	162	32	141.691888767
3R	AGAP010308	32	5	16.111339143
3R	AGAP010294	44	1	0.130118795496
3R	AGAP009932	243	1	0.058388785607
3R	AGAP009934	17	2	3.76428061115
3R	AGAP007736	859	56	77.8088307414
3R	AGAP007762	62	5	8.40597929539
3R	AGAP009951	378	1	0.319916615701
2R	AGAP002829	154	1	0.161978086069
2R	AGAP013184	61	1	0.0361348106624
2R	AGAP004500	26	1	0.324983572056
2R	AGAP003629	246	1	0.0643081617187
2R	AGAP013117	13	1	0.70377740449
2R	AGAP002605	142	1	0.210273422508
2R	AGAP004106	2257	4	2.35339544787
2R	AGAP002898	455	3	0.0614970762796
2R	AGAP003914	4764	1	7.48337026085
2R	AGAP002859	2185	2	2.97931172879
2R	AGAP013156	39	1	0.169521495702
2R	AGAP001683	5877	43	0.0583172190253
2R	AGAP013121	176	1	0.0897974168713
2R	AGAP004107	98	1	0.0883767771449
2R	AGAP001816	37	1	0.187614369135
2R	AGAP001822	58	1	0.0495416690765
2R	AGAP002863	30	1	0.265657586311
2R	AGAP002134	49	1	0.0972144081778
2R	AGAP004050	2143	3	2.53103437028
2R	AGAP004642	120	2	0.315380527779
2R	AGAP004251	1034	1	1.48787374856
2R	AGAP004230	663	2	0.497814646669
2R	AGAP003331	320	2	0.0612934454453
