chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP012056	250	1	0.0474047820454
3L	AGAP012289	98	1	0.0731145157304
3L	AGAP011479	368	3	0.00760116645372
3L	AGAP012275	114	1	0.118261609458
3L	AGAP011094	126	1	0.150520397087
3R	AGAP007731	32	11	80.6837701301
3R	AGAP009726	1413	2	1.6187776909
3R	AGAP007743	69	3	2.46936295798
3R	AGAP010292	65	1	0.0333859732914
3R	AGAP007732	91	23	136.081502674
3R	AGAP007736	681	71	181.682807614
3R	AGAP009257	376	1	0.280282194164
3R	AGAP007766	37	4	9.23937127089
3R	AGAP009183	256	1	0.0586660507834
3R	AGAP010282	41	1	0.170699156304
3R	AGAP007771	209	2	0.02957473865
3R	AGAP007761	263	9	6.19924279666
3R	AGAP007830	16	1	0.605371523791
3R	AGAP010307	62	1	0.0458749349623
3R	AGAP007735	10	2	6.33973345679
3R	AGAP009126	305	1	0.150041077948
3R	AGAP009202	49	1	0.113246089002
3R	AGAP007733	18	1	0.535451892987
3R	AGAP007767	28	1	0.316366674802
3R	AGAP009189	394	1	0.312887380536
3R	AGAP010290	115	2	0.385761514062
3R	AGAP009725	1655	1	2.39036579846
3R	AGAP007759	82	2	0.685570632
3R	AGAP009683	1907	1	2.78379382176
3R	AGAP007765	93	3	1.71124407483
3R	AGAP010089	19	1	0.505135706198
3R	AGAP007734	23	3	7.70056751751
3R	AGAP009933	504	2	0.195412619455
3R	AGAP009959	107	2	0.442668924634
2R	AGAP004616	11	1	0.868047859711
2R	AGAP013347	18	1	0.535451892987
2R	AGAP013315	578	2	0.310182572084
2R	AGAP002627	41	1	0.170699156304
2R	AGAP003459	52	1	0.0953752304685
2R	AGAP003997	1220	23	6.10100759688
2R	AGAP004373	792	2	0.646207026926
2R	AGAP002830	148	1	0.206849893894
2R	AGAP002128	54	1	0.0843362209702
2R	AGAP003781	203	1	0.0454328438339
2R	AGAP002195	38	1	0.197089105135
2R	AGAP001676	24	1	0.385809843857
2R	AGAP004108	21	2	3.260009895
2R	AGAP003625	263	1	0.0717863938094
2R	AGAP004648	334	7	2.31308446332
2R	AGAP001685	79	2	0.724158568727
2R	AGAP002132	121	6	6.41440373464
2R	AGAP002041	926	4	0.302067459157
2R	AGAP004333	117	7	9.41664690324
2R	AGAP013150	87	2	0.62672635075
2R	AGAP001694	143	1	0.194328257887
2R	AGAP004541	157	1	0.180950072165
2R	AGAP004299	16	1	0.605371523791
2R	AGAP002126	33	1	0.24941281307
2R	AGAP002315	7238	1	10.7912505472
2R	AGAP002916	273	2	0.0926685075314
2R	AGAP004273	605	6	0.323777729707
2R	AGAP004049	146	1	0.201859425928
2R	AGAP002104	1150	3	0.879433822991
2R	AGAP003346	11	1	0.868047859711
2R	AGAP004353	470	1	0.448836542684
2R	AGAP001743	450	1	0.413317808883
2R	AGAP004317	89	3	1.81062681302
2R	AGAP001678	1019	3	0.686522870524
2R	AGAP002825	153	3	0.824766064346
2R	AGAP003847	105	1	0.0932001049093
2R	AGAP003992	95	2	0.544523294325
2R	AGAP012965	413	2	0.0571037351415
2R	AGAP003820	63	1	0.0416093465611
2R	AGAP003255	21	2	3.260009895
2R	AGAP003509	3343	4	3.78409795101
2R	AGAP003939	137	1	0.179094672658
2R	AGAP004637	60	4	5.63787724844
2R	AGAP001674	661	14	4.6750386546
2R	AGAP002952	255	1	0.0567901195386
2R	AGAP003914	3369	6	3.11881090192
2R	AGAP013244	12	1	0.801074869669
2R	AGAP004409	84	2	0.661258665987
2R	AGAP001825	25	1	0.366750032247
2R	AGAP002555	72	1	0.00744294908201
2R	AGAP001412	528	1	0.550891725842
2R	AGAP004228	2355	4	2.32852732032
2R	AGAP002135	833	1	1.06966927971
2R	AGAP003335	967	12	1.29816684717
2R	AGAP004214	33	1	0.24941281307
2R	AGAP002832	481	6	0.68261170375
2R	AGAP004282	10	1	0.945986478657
2R	AGAP002228	63	1	0.0416093465611
2R	AGAP002984	119	1	0.131852447288
2R	AGAP002272	946	1	1.25633891585
2R	AGAP003537	289	1	0.120330130686
2R	AGAP001777	130	1	0.161013348184
2R	AGAP001749	16	1	0.605371523791
2R	AGAP004161	230	1	0.0097814311601
2R	AGAP002560	209	3	0.447507509111
2R	AGAP003244	443	2	0.10221166753
2R	AGAP013085	50	3	3.5441428805
2R	AGAP002603	121	1	0.13722748222
2R	AGAP002794	117	1	0.126442898141
2R	AGAP003937	151	1	0.204400985692
2R	AGAP004596	71	1	0.0109052023818
2R	AGAP004339	190	1	0.0773328346391
2R	AGAP004239	94	1	0.0613771199661
2R	AGAP004046	3035	2	4.09803189177
2R	AGAP002836	194	1	0.0670770870217
2R	AGAP004136	515	1	0.528134434482
2R	AGAP004007	27	1	0.33214166868
2R	AGAP013294	469	16	11.067953566
2R	AGAP004224	76	1	0.00577100144211
2R	AGAP002710	86	3	1.89090947771
2R	AGAP002973	30	1	0.287414570582
2R	AGAP004288	343	1	0.220075055612
2R	AGAP003925	285	1	0.112882499396
2R	AGAP003806	146	2	0.220663802288
2R	AGAP003428	496	1	0.494754315765
2R	AGAP004654	8	1	1.1487258852
2R	AGAP004006	26	1	0.348901066189
2R	AGAP004258	330	1	0.196201096279
2R	AGAP004280	1746	3	1.77006566557
2R	AGAP003856	25	1	0.366750032247
2R	AGAP001826	813	8	0.418761906303
2R	AGAP004050	2188	3	2.43387593841
2R	AGAP013418	71	1	0.0109052023818
2R	AGAP002310	1838	1	2.67641784327
2R	AGAP001824	2058	42	12.5640252667
2R	AGAP001761	159	1	0.173506236385
2R	AGAP004335	1109	5	0.315025539201
2R	AGAP003857	115	2	0.385761514062
2R	AGAP003735	646	10	1.86045564732
2R	AGAP013511	118	1	0.129152049888
2R	AGAP001807	329	1	0.194360963756
2R	AGAP002914	587	10	2.26272266029
2R	AGAP002250	2091	3	2.28821255524
2R	AGAP003331	236	4	0.883927727418
2R	AGAP003967	506	7	1.0279599422
2R	AGAP003901	736	2	0.558033118331
2R	AGAP004246	260	1	0.0661658284298
