chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP012102	117	1	0.0425387912692
3L	AGAP011854	168	1	0.242539813207
3L	AGAP011948	20	2	1.51719817526
3L	AGAP011360	604	1	1.79582985277
3L	AGAP011301	8	1	0.540393067487
3L	AGAP012069	30	2	0.946675399257
3L	AGAP011821	20	4	7.41971030756
3L	AGAP012052	67	2	0.234207217837
3L	AGAP011128	210	1	0.402959562125
3L	AGAP012261	28	1	0.0549514600093
3L	AGAP011724	69	1	0.203380478145
3L	AGAP011250	214	1	0.418045479955
3L	AGAP011610	11	4	12.3264701128
3L	AGAP011334	835	1	2.56914255574
3L	AGAP012324	15	2	2.03955071132
3L	AGAP011978	18	1	0.189073878235
3L	AGAP028012	89	1	0.0819281932515
3L	AGAP010848	10	1	0.427123415581
3L	AGAP011377	19	1	0.170871753079
3L	AGAP011283	17	1	0.20891972172
3L	AGAP011509	41	2	0.614179252359
3L	AGAP010341	2	1	1.61430599346
3L	AGAP011971	22	1	0.12415703524
3L	AGAP011979	35	1	0.00164017800215
3L	AGAP011954	40	1	0.0350792503027
3L	AGAP012404	51	1	0.103143403047
3L	AGAP011014	7	2	4.01812135773
3L	AGAP012235	6	1	0.708822376356
3L	AGAP012289	39	3	1.92211404931
3L	AGAP012275	82	1	0.124487254447
3L	AGAP011745	92	1	0.0655909398634
3L	AGAP012391	19	1	0.170871753079
3L	AGAP011112	43	1	0.0543162285494
3L	AGAP011949	13	1	0.311048995235
3L	AGAP011421	322	1	0.815126882863
3L	AGAP011912	5	1	0.829847583855
3L	AGAP011540	54	1	0.120668022362
3L	AGAP011715	24	1	0.098146029339
3L	AGAP010839	15	1	0.254654740044
3L	AGAP011282	197	2	0.0630189776076
3L	AGAP011899	17	2	1.79895817023
3L	AGAP011192	103	6	2.92547766148
3L	AGAP011742	6	1	0.708822376356
3L	AGAP011448	17	1	0.20891972172
3L	AGAP011454	54	1	0.120668022362
3L	AGAP011025	49	1	0.0912384998428
3L	AGAP011878	18	1	0.189073878235
3L	AGAP010313	24	3	3.29685322159
3L	AGAP028130	24	4	6.24554449017
3L	AGAP012068	185	1	0.307930213414
3L	AGAP011500	95	1	0.0502484876691
3L	AGAP011535	23	1	0.110715596313
3L	AGAP011633	13	1	0.311048995235
3L	AGAP011649	6	1	0.708822376356
3L	AGAP011035	9	2	3.26185907461
3L	AGAP010876	53	1	0.11486894501
3L	AGAP011582	32	1	0.0202938266928
3L	AGAP010780	84	1	0.111637047424
3L	AGAP011227	68	1	0.1980824567
3L	AGAP011134	564	2	1.27799627802
3L	AGAP012252	622	2	1.46989252565
3L	AGAP011155	76	1	0.166879571971
3L	AGAP011300	58	3	1.13947371762
3L	AGAP011475	165	1	0.230933003242
3L	AGAP011822	90	1	0.0763661741128
3L	AGAP011925	84	1	0.111637047424
3L	AGAP011479	148	1	0.164775090436
3L	AGAP011322	83	5	2.52230308022
3L	AGAP012313	240	1	0.515362640794
3L	AGAP012159	6	1	0.708822376356
3L	AGAP011618	537	1	1.56760046308
3L	AGAP010797	276	2	0.319680500962
3L	AGAP012386	157	2	0.0698615734914
3L	AGAP012305	69	4	1.87018433804
3L	AGAP012223	167	1	0.238673143102
3L	AGAP010316	1	1	2.34931496131
3L	AGAP011530	49	1	0.0912384998428
3L	AGAP012171	74	1	0.182452193448
3L	AGAP012372	275	2	0.316377704892
3L	AGAP011915	7	1	0.615271795365
3L	AGAP011526	125	1	0.0742594620688
3L	AGAP011366	45	1	0.0668394656572
3L	AGAP011904	11	5	19.0503839826
3L	AGAP010985	421	1	1.16627181685
3L	AGAP012345	64	1	0.176609585483
3L	AGAP011671	20	1	0.154098478546
3L	AGAP012387	64	2	0.263495195694
3L	AGAP012392	18	1	0.189073878235
3L	AGAP012375	9	1	0.478829024809
3L	AGAP028021	23	1	0.110715596313
3L	AGAP010312	59	1	0.149077169509
3L	AGAP011351	303	1	0.746513789886
3L	AGAP011988	1300	2	3.67537257152
3L	AGAP011015	2	2	9.10726776551
3L	AGAP012332	17	1	0.20891972172
3L	AGAP012160	44	1	0.0606064851054
3L	AGAP011498	141	1	0.13734483903
3L	AGAP010854	169	1	0.246404220274
3L	AGAP012146	71	2	0.198727813127
3L	AGAP011985	97	2	0.0357311411275
3L	AGAP012168	77	1	0.159380039308
3L	AGAP011355	409	1	1.12420049846
3L	AGAP012299	344	1	0.8940291944
3L	AGAP011871	30	2	0.946675399257
3L	AGAP011131	14	1	0.28127493067
3L	AGAP011870	2120	10	3.42061541478
3L	AGAP010744	21	3	3.77336755614
3L	AGAP011109	73	2	0.182343519177
3L	AGAP012179	330	1	0.843883626489
3L	AGAP012390	21	1	0.138576356622
3L	AGAP012284	10	1	0.427123415581
3L	AGAP012255	54	2	0.382459753049
