chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g
X	AGAP000822	6	3	43.002118032			0
X	AGAP013181	30	5	34.859388197			0
3R	AGAP010305	11	3	27.6086941674			0
3L	AGAP010317	31	4	21.1532989443	26	1	0.761455142652
X	AGAP001031	16	3	20.2972423817	21	1	0.934577371403
X	AGAP001044	7	2	15.820348697	20	1	0.978111488731
X	AGAP000833	81	5	13.5866054269	183	2	0.578103328084
3R	AGAP010304	56	4	12.0646585562			0
X	AGAP001032	64	4	10.5615196035	108	2	1.20379377357
X	AGAP000829	134	5	7.98616290467	342	1	0.128962019156
X	AGAP000937	17	2	7.53334284686	22	1	0.89450985935
X	AGAP001038	19	2	6.81565817008	30	1	0.659731198802
X	AGAP001082	156	5	6.74051272406	180	2	0.593696338998
X	AGAP000823	53	3	6.66983977783			0
2R	AGAP004106	6876	2	4.97982633316			0
2R	AGAP004046	6800	2	4.91975955764			0
X	AGAP000825	30	2	4.45321334454			0
2R	AGAP002915	5658	1	4.43192660764			0
X	AGAP000988	31	2	4.31529196047			0
X	AGAP001025	81	3	4.29768321698	101	1	0.103962242521
2R	AGAP004066	5303	3	3.3395703906			0
2R	AGAP003997	3258	24	3.27046490587	3255	6	0.738621644298
X	AGAP000995	43	2	3.12933628218	47	1	0.400427170949
3R	AGAP009934	44	2	3.05779546846	48	1	0.390142401651
X	AGAP013021	422	6	2.93231972754	594	5	1.0990253906
3L	AGAP010310	118	3	2.82902497761			0
X	AGAP001022	212	4	2.77182420035	284	2	0.235839241924
2R	AGAP002858	3531	1	2.71210066577			0
3R	AGAP010303	59	2	2.2591141778			0
X	AGAP001065	60	2	2.21920282023			0
3R	AGAP010297	61	2	2.18051419402	66	1	0.250954753938
2R	AGAP001660	2686	1	2.01321502144			0
X	AGAP000935	66	2	2.00355105923	74	1	0.207560522299
3R	AGAP010293	69	2	1.90891063409	78	1	0.18861651792
X	AGAP000820	9	1	1.88276166629			0
2R	AGAP004028	2462	1	1.82544400369			0
X	AGAP000940	435	5	1.74753665286	581	4	0.56364283326
X	AGAP000942	76	2	1.71535956544			0
X	AGAP000941	301	4	1.71496449963	334	2	0.139386643732
X	AGAP001040	12	1	1.4755702954			0
3R	AGAP010044	1977	1	1.41384208769			0
3L	AGAP010742	1949	1	1.38982652243			0
X	AGAP000994	94	2	1.34262208825	95	1	0.122854815758
