chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP011979	60	3	4.5371462064
3L	AGAP011479	489	1	0.19392335966
3L	AGAP011913	29	1	0.498434428013
3R	AGAP007731	89	10	41.2531184862
3R	AGAP007736	1072	73	182.673353372
3R	AGAP007754	120	2	0.707445175251
3R	AGAP010307	117	2	0.734188622106
3R	AGAP007735	17	2	5.92829285223
3R	AGAP007743	165	1	0.109321849989
3R	AGAP009202	61	1	0.172466126017
3R	AGAP007733	16	1	0.907818778436
3R	AGAP007761	405	19	32.3228268979
3R	AGAP009200	174	1	0.125923162649
3R	AGAP007740	12	1	1.17717310536
3R	AGAP007759	206	4	2.08371211437
3R	AGAP007766	47	1	0.26945573037
3R	AGAP007767	69	1	0.131738653124
3R	AGAP007732	266	32	146.113765502
3R	AGAP007737	53	2	1.94362840955
3R	AGAP007762	45	5	18.8045309737
3R	AGAP010293	76	1	0.101823892038
3R	AGAP009726	2868	1	2.814376814
2R	AGAP004616	25	1	0.585198666463
2R	AGAP001658	405	1	0.0891832885435
2R	AGAP013315	890	1	0.672721285336
2R	AGAP002104	1970	1	1.86653104021
2R	AGAP003459	69	4	7.55474612188
2R	AGAP003655	56	1	0.202569417703
2R	AGAP003997	1765	10	0.234823390181
2R	AGAP003255	62	1	0.166917811833
2R	AGAP004494	2026	4	0.891125340648
2R	AGAP002732	681	1	0.427168529036
2R	AGAP001685	103	1	0.01786392773
2R	AGAP013294	960	3	0.156686245223
2R	AGAP004333	194	3	1.07286709151
2R	AGAP002628	846	2	0.29557102315
2R	AGAP002315	8914	1	8.93648848743
2R	AGAP002916	396	3	0.227007916299
2R	AGAP004273	888	3	0.0926687244361
2R	AGAP003439	1311	1	1.14924974341
2R	AGAP002191	14	1	1.02599831944
2R	AGAP004119	699	1	0.448626885528
2R	AGAP013191	112	1	0.00288152447529
2R	AGAP004353	751	1	0.510266939482
2R	AGAP004088	293	1	0.0596714038267
2R	AGAP003992	119	1	0.0179923993647
2R	AGAP012965	645	1	0.384054954122
2R	AGAP004361	287	2	0.0675615035469
2R	AGAP012980	701	2	0.145063149003
2R	AGAP004637	66	4	7.91145173408
2R	AGAP004096	824	1	0.595979302431
2R	AGAP003914	5618	2	5.20817430123
2R	AGAP001825	45	2	2.31277728134
2R	AGAP004228	2722	2	2.26106286925
2R	AGAP002443	224	1	0.206121712381
2R	AGAP004437	372	1	0.0476170488911
2R	AGAP003976	324	1	0.0135527208985
2R	AGAP002560	377	2	0.0556306107244
2R	AGAP004032	443	1	0.136767341138
2R	AGAP013085	59	1	0.184013649415
2R	AGAP003070	3886	1	3.86697927768
2R	AGAP004241	115	1	0.00940572095198
2R	AGAP002829	191	1	0.156410304336
2R	AGAP004129	24	1	0.610672190908
2R	AGAP004320	337	1	0.00333744952403
2R	AGAP003981	42	1	0.316483427199
2R	AGAP003937	185	1	0.145771938006
2R	AGAP013144	397	3	0.224975057766
2R	AGAP002836	317	1	0.0231964561422
2R	AGAP002838	43	1	0.306361347855
2R	AGAP004052	2551	3	1.72147692797
2R	AGAP003886	370	1	0.0450915172457
2R	AGAP004244	859	3	0.0674019394264
2R	AGAP004288	610	2	0.0526513948973
2R	AGAP003925	640	1	0.378045636399
2R	AGAP003933	88	2	1.07860578447
2R	AGAP001962	677	1	0.422391224918
2R	AGAP001660	1233	1	1.06236560759
2R	AGAP001775	187	1	0.149332225069
2R	AGAP004280	2072	1	1.97553908568
2R	AGAP003643	595	1	0.323718942606
2R	AGAP001826	1256	3	0.433159278502
2R	AGAP002091	248	1	0.146356904944
2R	AGAP001824	3408	33	4.77063414394
2R	AGAP004335	1481	3	0.65168769822
2R	AGAP004405	3002	1	2.95397933522
2R	AGAP004430	192	1	0.15817116006
2R	AGAP002914	927	3	0.127132936279
2R	AGAP001720	110	1	0.00151500438248
2R	AGAP004435	48	1	0.261023206735
2R	AGAP003967	689	1	0.436713513961
2R	AGAP002731	119	1	0.0179923993647
2R	AGAP002591	3435	1	3.40273342146
2R	AGAP002790	2948	2	2.49412648161
2R	AGAP003358	84	1	0.072562757551
2R	AGAP002793	1823	1	1.70863487899
2R	AGAP002828	374	1	0.0501419121007
2R	AGAP003931	1123	1	0.938862933571
2R	AGAP004067	22	2	4.67969897619
2R	AGAP001919	45	1	0.287235256804
2R	AGAP004643	18	4	26.6792228057
2R	AGAP002822	155	1	0.0904537317734
2R	AGAP003568	818	1	0.588968545051
2R	AGAP002908	191	1	0.156410304336
2R	AGAP004369	1671	1	1.54425038473
2R	AGAP002877	83	2	1.16033734387
2R	AGAP004033	579	3	0.0232740068246
2R	AGAP004230	775	8	1.48036386236
2R	AGAP002927	666	1	0.40923692187
2R	AGAP003805	77	2	1.27135173329
2R	AGAP003906	139	1	0.0592154933883
2R	AGAP004224	125	1	0.0306456231458
2R	AGAP002116	2170	3	1.33799761914
2R	AGAP004270	91	1	0.0503387794452
2R	AGAP002915	3022	8	0.767895595102
2R	AGAP002741	3306	1	3.26938429047
2R	AGAP004066	2426	8	0.327697796293
2R	AGAP004399	141	2	0.55005464924
2R	AGAP004023	80	1	0.0866163923965
2R	AGAP002677	4656	2	4.23681549658
2R	AGAP002858	2833	3	2.00575432691
2R	AGAP002807	447	1	0.141757229545
2R	AGAP003335	1695	1	1.57028817375
2R	AGAP004176	223	1	0.208876395874
2R	AGAP013121	167	8	13.4589981806
2R	AGAP004303	161	1	0.10183037569
2R	AGAP003924	625	1	0.359985708542
2R	AGAP004341	930	5	0.0565333467884
2R	AGAP004039	1270	6	0.0318953533071
2R	AGAP001638	122	2	0.690295223932
2R	AGAP003355	624	1	0.358779992793
2R	AGAP001683	6707	31	0.0214000049008
2R	AGAP004541	227	1	0.197995702566
2R	AGAP002250	2611	1	2.5454949376
2R	AGAP003968	73	1	0.114086457797
2R	AGAP004098	108	3	2.3519975832
2R	AGAP002325	1140	2	0.605489013648
2R	AGAP003331	395	3	0.229051490089
2R	AGAP002924	1521	1	1.3807401764
2R	AGAP004344	687	1	0.434328465061
2R	AGAP004112	1719	1	1.59629403402
2R	AGAP003479	270	3	0.606911799004
2R	AGAP002232	322	8	6.12757260532
2R	AGAP002907	121	1	0.0222395713182
2R	AGAP001684	169	2	0.397401535508
2R	AGAP002817	702	1	0.452197065434
2R	AGAP002711	930	1	0.718913629595
2R	AGAP003987	56	1	0.202569417703
2R	AGAP003238	1030	1	0.833443627327
2R	AGAP003986	1141	2	0.606546756535
2R	AGAP002832	990	1	0.78778699343
2R	AGAP004015	42	2	2.48447894408
2R	AGAP003806	186	2	0.325778785172
2R	AGAP004000	672	2	0.115382875252
2R	AGAP001690	1739	5	0.386930783437
2R	AGAP003356	75	1	0.105825005463
2R	AGAP003944	469	1	0.169134598942
2R	AGAP002633	118	1	0.0158574284273
2R	AGAP002329	176	1	0.12956686687
2R	AGAP004106	3116	10	0.452192061637
2R	AGAP002226	1856	8	0.0199525624668
2R	AGAP013186	38	1	0.361314277059
2R	AGAP004068	248	3	0.712924408137
2R	AGAP004209	543	1	0.260375251192
2R	AGAP002573	2670	1	2.60736458988
2R	AGAP004348	243	2	0.155014497802
2R	AGAP002578	982	2	0.438543314992
2R	AGAP003982	60	2	1.69615275403
2R	AGAP001674	1186	5	0.0267475541542
2R	AGAP002958	203	1	0.177322566516
2R	AGAP012951	136	1	0.0531979929546
2R	AGAP004644	135	1	0.0511799984675
2R	AGAP004251	1165	4	0.124962866872
2R	AGAP004169	3023	3	2.19732871613
2R	AGAP004595	185	2	0.32965101655
2R	AGAP003115	995	1	0.793505056383
2R	AGAP001271	364	2	0.0392014408152
2R	AGAP004117	1507	5	0.202476918839
2R	AGAP004453	2273	5	0.847810191926
2R	AGAP002942	4419	1	4.41235592065
2R	AGAP002830	327	1	0.00954374458262
2R	AGAP004564	181	1	0.138607521887
2R	AGAP013145	5217	13	1.38062313986
2R	AGAP004657	13	2	7.51407767956
2R	AGAP004275	51	1	0.237359317585
2R	AGAP002825	299	1	0.0500187019357
2R	AGAP004092	1184	2	0.652033589456
2R	AGAP013117	19	1	0.771385736402
2R	AGAP004050	2642	2	2.17838302435
2R	AGAP004458	239	1	0.167430939255
2R	AGAP004034	191	2	0.306987037276
2R	AGAP003901	1245	1	1.07576780211
2R	AGAP003965	1899	1	1.79039176323
2R	AGAP004642	200	3	1.02351881289
2R	AGAP002336	63	2	1.60578555464
2R	AGAP003935	40	1	0.337971416168
2R	AGAP004154	2848	1	2.79350753272
2R	AGAP002896	745	1	0.503180414079
2R	AGAP003735	923	1	0.710846469604
2R	AGAP003519	586	3	0.0302304960154
2R	AGAP004078	258	4	1.50098979204
2R	AGAP002133	71	1	0.122714967869
2R	AGAP002824	1425	8	0.174675049552
2R	AGAP001410	661	2	0.104175816711
2R	AGAP001821	40	1	0.337971416168
2R	AGAP002186	3619	8	1.25490177957
2R	AGAP004311	187	1	0.149332225069
2L	AGAP005964	1490	1	1.34676937018
2L	AGAP004768	484	1	0.187735137641
2L	AGAP004827	422	3	0.177419636266
2L	AGAP005182	32	2	3.26740845566
2L	AGAP004685	20	1	0.733791921102
2L	AGAP004940	632	1	0.368419676598
2L	AGAP005831	73	9	40.2249418946
2L	AGAP006436	620	1	0.35395496112
2L	AGAP005165	3669	7	1.55862014174
2L	AGAP004915	525	2	0.0334952087092
