chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP012046	79	1	0.080380500049
3L	AGAP012102	228	1	0.121608342266
3L	AGAP011360	1569	1	2.92063877681
3L	AGAP012069	70	1	0.0466543934659
3L	AGAP012052	130	1	0.15159498963
3L	AGAP011384	4623	1	8.77821819047
3L	AGAP010920	372	1	0.453682215014
3L	AGAP011874	173	1	0.00965522909752
3L	AGAP012167	148	1	0.0825111243981
3L	AGAP012249	64	1	0.0231715574526
3L	AGAP011912	48	1	0.049609608878
3L	AGAP012141	495	1	0.725870045926
3L	AGAP011015	6	1	1.16536052533
3L	AGAP010781	120	1	0.198460043139
3L	AGAP011342	419	1	0.5587444755
3L	AGAP010790	230	1	0.126335906575
3L	AGAP011209	22	1	0.314082595659
3L	AGAP010330	5	2	8.58676101045
3L	AGAP011446	135	1	0.130641243454
3L	AGAP011854	308	1	0.308136851835
3L	AGAP010877	26	1	0.246801004578
3L	AGAP012289	49	2	0.994234337573
3L	AGAP012275	96	1	0.140178762984
3L	AGAP011745	167	2	0.0224451666326
3L	AGAP011178	114	1	0.199280694981
3L	AGAP011990	48	2	1.02060982689
3L	AGAP011155	106	1	0.173466996441
3L	AGAP011578	449	1	0.625094421736
3L	AGAP011899	77	1	0.0730263574902
3L	AGAP011192	217	3	0.197639119153
3L	AGAP012168	141	1	0.107371303998
3L	AGAP011282	377	1	0.464928053908
3L	AGAP028416	15	1	0.497323242982
3L	AGAP010317	9	4	24.064067897
3L	AGAP028185	297	1	0.282803317569
3L	AGAP011474	96	1	0.140178762984
3L	AGAP011054	63	1	0.0191697806498
3L	AGAP010313	38	5	11.2762671747
3L	AGAP028130	37	1	0.124939379216
3L	AGAP011453	142	1	0.103675974369
3L	AGAP010851	96	3	1.17231527904
3L	AGAP011377	28	1	0.219060591728
3L	AGAP011949	25	1	0.261989732139
3L	AGAP012163	217	1	0.0955515156257
3L	AGAP011582	64	2	0.690197092543
3L	AGAP028148	38	1	0.116703724199
3L	AGAP011300	92	1	0.126503623757
3L	AGAP010314	42	1	0.0868826668423
3L	AGAP012290	16	1	0.463274449227
3L	AGAP012277	78	2	0.504644497482
3L	AGAP012345	82	1	0.0912737282164
3L	AGAP028418	180	1	0.00731846373108
3L	AGAP012288	11	1	0.681943404852
3L	AGAP012354	764	2	0.928316436911
3L	AGAP012023	140	2	0.107263516381
3L	AGAP011618	1304	1	2.39518693152
3L	AGAP011674	50	1	0.038753209354
3L	AGAP011495	166	1	0.0279017032673
3L	AGAP010797	344	2	0.0933950060614
3L	AGAP010440	3	1	1.96724658425
3L	AGAP011611	55	1	0.0143299785913
3L	AGAP011437	512	1	0.762842868098
3L	AGAP012305	289	1	0.264317054802
3L	AGAP012026	2175	1	4.10461101011
3L	AGAP011530	95	1	0.136780530126
3L	AGAP012385	67	1	0.035022421289
3L	AGAP011808	30	1	0.194312593655
3L	AGAP010439	22	1	0.314082595659
3L	AGAP012134	94	1	0.133368763159
3L	AGAP011298	23	1	0.295505442852
3L	AGAP011131	18	2	2.94607208647
3L	AGAP011648	32	1	0.172056147316
3L	AGAP012387	95	1	0.136780530126
3L	AGAP010632	197	1	0.0479549618416
3L	AGAP011379	5365	7	7.75464980428
3L	AGAP012284	8	1	0.913339101242
3L	AGAP012263	247	1	0.16639013032
3L	AGAP011479	277	3	0.0326779134171
3L	AGAP012146	143	1	0.100030177664
3L	AGAP011742	13	1	0.577988081864
3L	AGAP012299	516	1	0.771522407327
3L	AGAP011870	4246	3	7.22664867127
3L	AGAP010744	16	1	0.463274449227
3L	AGAP011935	10	1	0.746394442582
3L	AGAP011812	110	1	0.186457786542
3L	AGAP011988	1686	4	2.02023335425
3L	AGAP012255	147	1	0.0859233034536
3L	AGAP012274	185	1	0.0192835315858
3L	AGAP011452	183	1	0.0144985966029
3L	AGAP012139	28	1	0.219060591728
3L	AGAP010855	137	1	0.122668295667
3L	AGAP011639	248	1	0.168738877067
3L	AGAP011448	36	2	1.43899289776
3L	AGAP011279	347	3	0.101214995699
3L	AGAP011652	346	1	0.394921305242
3L	AGAP011118	567	1	0.881561160316
3L	AGAP010310	32	3	4.33723394263
3L	AGAP011659	105	1	0.170191773679
3L	AGAP011943	35	2	1.48547142139
3L	AGAP012401	26	1	0.246801004578
3L	AGAP028409	47	2	1.0480052608
3L	AGAP012386	358	1	0.422101591586
3L	AGAP011500	168	1	0.0225366552012
3L	AGAP012075	300	1	0.28972217521
3L	AGAP011519	53	1	0.0236713865883
3L	AGAP012273	143	1	0.100030177664
3R	AGAP007736	443	76	250.977785289
3R	AGAP008138	29	1	0.206346819098
3R	AGAP009261	229	1	0.123972518551
3R	AGAP009117	517	4	0.0183239752646
3R	AGAP008796	38	1	0.116703724199
3R	AGAP027996	1887	4	2.39531659037
3R	AGAP008596	503	1	0.743286319013
3R	AGAP009115	1573	5	1.49769779807
3R	AGAP007831	428	2	0.257196116474
3R	AGAP008197	1678	1	3.13515898255
3R	AGAP008548	79	3	1.53799643656
3R	AGAP007862	112	1	0.192889564784
3R	AGAP007761	165	25	72.6800462538
3R	AGAP007827	54	1	0.0189339234649
3R	AGAP008144	373	1	0.455932752125
3R	AGAP008146	49	1	0.044095591751
3R	AGAP008499	39	1	0.108801201826
3R	AGAP009397	27	4	9.69346860962
3R	AGAP008354	438	1	0.600826602666
3R	AGAP007863	317	1	0.328792188395
3R	AGAP008494	116	1	0.20563242279
3R	AGAP007776	2107	6	2.14576371519
3R	AGAP009187	38	1	0.116703724199
3R	AGAP009091	208	1	0.0741660456267
3R	AGAP010184	2299	1	4.34473273928
3R	AGAP007763	5	1	1.34868053735
3R	AGAP007747	9	1	0.822313331908
3R	AGAP009944	18	1	0.404603473867
3R	AGAP009933	420	1	0.560964675302
3R	AGAP008348	1990	3	2.94919711184
3R	AGAP028058	3	1	1.96724658425
3R	AGAP008643	101	2	0.304351607389
3R	AGAP008559	800	1	1.37254177252
3R	AGAP007930	27	3	5.13868299009
3R	AGAP009112	3471	10	3.31535064592
3R	AGAP009683	1523	2	2.42759118028
3R	AGAP008185	244	3	0.112669970851
3R	AGAP007750	10	1	0.746394442582
3R	AGAP009124	361	1	0.428880476523
3R	AGAP028092	20	2	2.66164421872
3R	AGAP008200	343	1	0.388109800716
3R	AGAP007751	391	13	6.1113718255
3R	AGAP009170	1007	2	1.41233076844
3R	AGAP007732	47	25	206.508913522
3R	AGAP008502	43	1	0.0801119019174
3R	AGAP010302	14	4	17.2049769648
3R	AGAP008471	1185	1	2.15700764955
3R	AGAP009183	214	4	0.660626274001
3R	AGAP009242	387	2	0.176682659032
3R	AGAP008731	123	1	0.183642876773
3R	AGAP009210	2094	4	2.7828803423
3R	AGAP007985	1752	1	3.2803486623
3R	AGAP009129	42	1	0.0868826668423
