chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
3R	AGAP007732	125	23	79.5081914598	162	32	141.691888767	221.2000802268
X	AGAP001035	16	13	135.557066942	25	6	29.0596679629	164.6167349049
X	AGAP013341	11	10	108.963213464	7	4	34.296035244	143.259248708
3R	AGAP007736	663	47	58.9857363828	859	56	77.8088307414	136.7945671242
X	AGAP001076	36	10	48.1812876155	26	10	74.5961305338	122.77741814929999
3R	AGAP007731	32	11	63.3604541428	41	10	51.8093490646	115.16980320740001
X	AGAP001026	10	5	34.5258951848	11	4	25.0028562946	59.5287514794
2R	AGAP004643	32	5	13.3873816412	12	4	23.4034315739	36.7908132151
X	AGAP001043	140	12	18.9050629356	127	9	13.9222079773	32.8272709129
X	AGAP001092	5	3	20.4581818734	4	2	12.0001883949	32.4583702683
X	AGAP001029	14	4	17.3467593917	22	4	14.1551706778	31.5019300695
X	AGAP001090	15	4	16.399296884	16	3	10.097279258	26.496576142000002
X	AGAP001033	3	2	12.112300161	12	3	12.8753978587	24.987698019699998
