chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP010312	266	1	0.147359038216
3L	AGAP010794	230	1	0.101286736122
3L	AGAP010316	15	1	1.35317292047
3L	AGAP010313	173	3	2.05758803001
3L	AGAP010788	1119	1	0.546651696673
3L	AGAP010317	27	1	0.78610368567
3L	AGAP010780	186	2	0.628143764704
3R	AGAP010292	145	1	0.0222299278098
3R	AGAP007761	917	6	0.897418154782
3R	AGAP010147	675	1	0.172619862394
3R	AGAP010297	64	1	0.291406118162
3R	AGAP009805	850	1	0.322556703764
3R	AGAP010302	54	2	2.8047957226
3R	AGAP010294	96	3	4.06761372281
3R	AGAP007737	120	6	15.2508298376
3R	AGAP010290	184	4	3.81501240921
3R	AGAP007732	633	31	81.7214281888
3R	AGAP007736	2299	48	45.3891959405
3R	AGAP010293	81	1	0.199657241484
3R	AGAP010184	4559	3	2.3568051817
3R	AGAP010286	409	6	3.61505643975
3R	AGAP007733	67	1	0.272461277526
3R	AGAP010283	202	3	1.68647052007
3R	AGAP009934	48	1	0.424498159135
3R	AGAP009708	79	1	0.208756891842
3R	AGAP007731	197	8	16.7709893075
3R	AGAP010307	167	2	0.738874210305
3R	AGAP007734	185	1	0.0394190340121
3R	AGAP009932	627	1	0.130868471264
3R	AGAP007762	129	4	5.73009479251
3R	AGAP010295	535	7	3.61263093394
3R	AGAP010308	60	5	20.6608441706
3R	AGAP010289	18	2	8.02813833498
2R	AGAP003252	135	1	0.0409084434868
2R	AGAP001690	4164	1	2.85552812377
2R	AGAP002226	4444	1	3.05884964537
2R	AGAP003519	1218	1	0.627478350735
2R	AGAP003070	8860	1	6.20192784887
2R	AGAP013121	273	2	0.308066716486
2R	AGAP013145	12618	2	8.39459695201
2R	AGAP002628	2940	2	1.56604878346
2R	AGAP003997	3257	6	0.6068229573
2R	AGAP003358	166	1	0.0114364057087
2R	AGAP013186	65	2	2.31237121735
2R	AGAP001569	203	1	0.0648332913452
