chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP010805	189	1	0.0976087381143
3L	AGAP012259	137	1	0.0508170553845
3L	AGAP010742	500	4	0.0663764504061
3L	AGAP010549	239	2	0.0379042822685
3L	AGAP010979	282	1	0.347152900225
3L	AGAP010310	9	3	11.6136949753
3L	AGAP010313	10	5	29.5839515161
3L	AGAP012131	90	2	0.284178953332
3L	AGAP010750	320	3	0.0774193620887
3L	AGAP010780	44	2	0.944234967684
3L	AGAP013327	17	1	0.361679514346
3L	AGAP011022	9	1	0.711794995969
3L	AGAP010314	23	1	0.237412970021
3L	AGAP010788	337	1	0.490500887488
3L	AGAP010781	78	5	4.43216792898
3L	AGAP011008	5	2	7.45550644848
3L	AGAP011030	99	2	0.222489833254
3L	AGAP010691	26	1	0.19304490389
3L	AGAP011097	382	2	0.281518152671
3L	AGAP010317	1	4	54.9138950965
3R	AGAP009243	54	1	0.016721368118
3R	AGAP008305	1019	1	2.13542687813
3R	AGAP008995	118	1	0.126364698214
3R	AGAP010000	27	1	0.180013871937
3R	AGAP010286	98	2	0.228822827348
3R	AGAP010297	19	1	0.31330693474
3R	AGAP010184	1344	9	0.501697717149
3R	AGAP028188	65	1	0.0658813684805
3R	AGAP007738	10	2	4.32526663809
3R	AGAP009683	864	1	1.77431729631
3R	AGAP009210	1148	2	2.03499480935
3R	AGAP009799	677	1	1.33137968942
3R	AGAP010304	27	2	1.67399968145
3R	AGAP010303	33	1	0.115273513774
3R	AGAP009840	53	1	0.0120540972848
3R	AGAP010090	844	2	1.34366817257
3R	AGAP007734	31	2	1.43798055238
3R	AGAP010096	58	1	0.0350386256037
3R	AGAP009724	44	1	0.034287053347
3R	AGAP010044	352	3	0.0100353304979
3R	AGAP008710	76	1	0.111767778153
3R	AGAP010155	14	1	0.454408388266
3R	AGAP009670	264	1	0.29958772842
3R	AGAP007740	2	1	2.25224304849
3R	AGAP010183	131	1	0.0723961580277
3R	AGAP008310	171	1	0.0482603639774
3R	AGAP010264	28	1	0.167723022562
3R	AGAP009708	22	1	0.254307029576
3R	AGAP009704	29	2	1.54870633119
3R	AGAP009989	23	1	0.237412970021
3R	AGAP010290	69	1	0.0828995215289
3R	AGAP009726	992	3	1.33089449881
3R	AGAP009183	77	3	1.30250844351
3R	AGAP007996	427	1	0.719556076689
3R	AGAP007737	11	2	3.983877382
3R	AGAP009773	41	1	0.0529962949559
3R	AGAP009925	644	5	0.125652037763
3R	AGAP028204	42	1	0.0465308844446
3R	AGAP010147	150	12	14.606922567
3R	AGAP010137	17	1	0.361679514346
3R	AGAP007739	4	2	8.69534022939
3R	AGAP013730	320	1	0.446497058197
3R	AGAP007731	13	11	99.745319935
3R	AGAP007732	63	24	132.260950758
3R	AGAP007742	5	3	17.562584903
3R	AGAP010159	14	1	0.454408388266
3R	AGAP010302	13	1	0.492828666519
3R	AGAP009725	1227	1	2.61390334592
3R	AGAP007736	476	31	29.6046310191
3R	AGAP007761	186	1	0.0894043993414
3R	AGAP009686	7	1	0.892409896747
3R	AGAP009706	17	2	2.67593549836
3R	AGAP010265	219	7	2.44363349174
3R	AGAP009594	90	2	0.284178953332
2R	AGAP002572	30	1	0.145100113054
2R	AGAP003038	245	1	0.249004576575
2R	AGAP013517	4	1	1.40194120681
2R	AGAP003997	645	26	12.8571704085
2R	AGAP002186	1260	2	2.28782023624
2R	AGAP002955	484	1	0.86175883925
2R	AGAP001707	38	1	0.0739514446205
2R	AGAP001330	1118	2	1.96711406104
2R	AGAP013145	1681	11	0.650254846735
2R	AGAP002573	1062	4	1.16676366589
2R	AGAP003986	527	6	0.0517540142937
2R	AGAP013074	41	1	0.0529962949559
2R	AGAP002836	124	1	0.100109074499
2R	AGAP001670	18	1	0.336413494094
2R	AGAP002790	820	10	0.212516403382
2R	AGAP002719	224	1	0.192634476992
2R	AGAP002305	11	1	0.586171116171
2R	AGAP002615	12	1	0.536350788329
2R	AGAP003937	87	1	0.155142289433
2R	AGAP002591	888	9	0.0262074087716
2R	AGAP002710	40	1	0.0597103186126
2R	AGAP003071	162	2	0.0265930497363
2R	AGAP001658	102	1	0.210654118406
2R	AGAP002342	147	1	0.0186551427841
2R	AGAP004577	234	1	0.21953850003
2R	AGAP002438	317	5	0.359654652763
2R	AGAP004104	65	2	0.536597499437
2R	AGAP002628	350	4	0.0114016895999
2R	AGAP002858	804	3	0.920495872281
2R	AGAP002325	392	2	0.304322693386
2R	AGAP013144	122	1	0.108586620503
2R	AGAP002924	618	2	0.824539516762
2R	AGAP001826	346	4	0.0190515562385
2R	AGAP003371	69	1	0.0828995215289
2R	AGAP003400	262	4	0.245777037588
2R	AGAP001473	34	1	0.106256215154
2R	AGAP003388	84	1	0.143528832117
2R	AGAP003509	1736	2	3.35352163873
2R	AGAP001820	75	1	0.107709472998
2R	AGAP013012	824	2	1.29790176314
2R	AGAP003342	63	1	0.0572141276783
2R	AGAP012965	173	2	0.0568753871581
2R	AGAP002135	313	2	0.125831856524
2R	AGAP003715	45	1	0.0284821944456
2R	AGAP002667	21	2	2.17440960543
2R	AGAP002415	20	1	0.292072031847
2R	AGAP001748	342	1	0.503394521985
2R	AGAP002767	140	1	0.0406994019008
2R	AGAP003945	595	1	1.13375881841
2R	AGAP002567	55	1	0.0213524362166
2R	AGAP001816	8	2	5.20791094884
2R	AGAP001684	53	3	2.10936841063
2R	AGAP013481	246	1	0.251676674855
2R	AGAP001687	53	1	0.0120540972848
2R	AGAP003873	238	1	0.230268958204
2R	AGAP002859	609	8	0.269091770928
2R	AGAP013195	14	1	0.454408388266
2R	AGAP004032	277	5	0.543242194076
2R	AGAP002424	865	3	1.05320227181
2R	AGAP002915	1171	11	0.00234495534003
2R	AGAP002116	599	2	0.78073267505
2R	AGAP002433	34	1	0.106256215154
2R	AGAP002736	52	1	0.00734953653477
2R	AGAP001339	32	1	0.124728095023
2R	AGAP002872	3	3	23.4880828672
2R	AGAP003582	26	1	0.19304490389
2R	AGAP013160	29	1	0.156104848322
2R	AGAP003235	335	1	0.485337335577
2R	AGAP002661	13	1	0.492828666519
2R	AGAP002687	79	1	0.123820875112
2R	AGAP002773	805	4	0.638685253149
2R	AGAP001194	115	1	0.140471133275
2R	AGAP004169	1878	4	2.91055644235
2R	AGAP002892	85	1	0.147416874906
2R	AGAP002908	80	1	0.127799431704
2R	AGAP002488	22	1	0.254307029576
2R	AGAP004106	1676	9	1.04842361933
2R	AGAP001677	28	1	0.167723022562
2R	AGAP002327	39	1	0.0666893740105
2R	AGAP002578	335	2	0.175075434589
2R	AGAP002672	131	1	0.0723961580277
2R	AGAP003181	183	1	0.0811915005952
2R	AGAP002248	29	1	0.156104848322
2R	AGAP003260	39	2	1.09884946645
2R	AGAP002814	382	1	0.605797003153
2R	AGAP001674	314	11	4.44972141182
2R	AGAP002157	115	2	0.135265009924
2R	AGAP002516	38	1	0.0739514446205
2R	AGAP002793	667	1	1.3074077648
2R	AGAP004013	39	2	1.09884946645
2R	AGAP002895	33	1	0.115273513774
2R	AGAP013191	25	1	0.206893427113
2R	AGAP001117	105	1	0.193000467225
2R	AGAP002888	463	6	0.181797933643
2R	AGAP002972	440	1	0.752163357737
2R	AGAP002444	86	1	0.151287913836
2R	AGAP003784	216	1	0.171031241486
2R	AGAP001632	72	1	0.095406164451
2R	AGAP002587	13	2	3.43480707445
