chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
X	AGAP013341	37	10	116.282513332	33	4	19.9474744956	136.22998782759998
3R	AGAP007732	525	25	57.495478111	616	31	73.7207529799	131.2162310909
X	AGAP001035	67	13	116.542518984	113	5	9.58967973961	126.13219872361
X	AGAP001076	119	10	40.5525443667	80	10	58.3509711217	98.90351548839999
X	AGAP001023	177	6	8.94769671732	283	19	61.6862296845	70.63392640181999
3R	AGAP007736	1966	29	15.058507733	2256	47	37.867950815	52.926458548
X	AGAP001026	32	5	33.4001365679	38	4	17.4980133372	50.8981499051
3R	AGAP007731	146	10	33.0316878561	194	8	14.9445200716	47.9762079277
X	AGAP001037	17	4	36.1382158508	31	2	4.3110223446	40.4492381954
X	AGAP000819	18	4	34.472384907	41	2	3.27884079041	37.75122569741
X	AGAP000981	114	8	26.6225691521	155	3	2.03612020158	28.65868935368
X	AGAP001050	23	2	5.80159451489	29	4	22.4387759057	28.240370420589997
X	AGAP001029	44	4	15.4754864074	78	4	8.61982225884	24.09530866624
X	AGAP001092	20	3	16.9671255158	19	2	6.80893877284	23.77606428864
3L	AGAP010317	31	4	21.4591644894	28	1	0.672571683358	22.131736172758
3R	AGAP010308	47	2	2.90299811081	58	5	18.8978164551	21.80081456591
X	AGAP001031	16	3	20.5857330143	17	1	1.08359065663	21.66932367093
X	AGAP001041	18	1	1.04331153921	16	3	20.2722378349	21.31554937411
X	AGAP001033	14	2	9.06655611991	36	3	9.73082882405	18.79738494396
X	AGAP001028	43	4	15.8187814203	67	2	1.96909593922	17.78787735952
2R	AGAP013145	9575	1	7.42727525537	12777	1	10.0401096014	17.46738485677
X	AGAP001044	7	2	16.0409384341	17	1	1.08359065663	17.12452909073
X	AGAP001043	486	11	10.5067215807	501	9	6.18463205436	16.69135363506
X	AGAP001090	60	4	11.4348703847	67	3	5.24332476046	16.67819514516
3R	AGAP010302	42	4	16.1769208526	51	1	0.338725941884	16.515646794484
X	AGAP001045	29	2	4.66591600266	31	3	11.2106430974	15.87655910006
X	AGAP001091	170	4	3.70706282344	132	6	12.127968145	15.83503096844
X	AGAP001034	32	3	11.0524740943	31	2	4.3110223446	15.3634964389
3R	AGAP007737	84	2	1.55670490131	117	6	13.7836407188	15.34034562011
X	AGAP001030	24	2	5.5766073056	37	3	9.47888568956	15.05549299516
X	AGAP001036	17	2	7.63937494043	19	2	6.80893877284	14.44831371327
X	AGAP000833	81	5	13.792493708	203	2	0.444162760944	14.236656468944
X	AGAP000958	413	7	4.50411546233	443	10	9.29929103233	13.803406494659999
X	AGAP001083	38	1	0.493605900955	26	3	13.1958828478	13.689488748755
2R	AGAP002186	6898	1	5.34295026035	8873	2	6.55137790026	11.894328160610002
X	AGAP001032	64	4	10.7201913983	106	2	1.1591295776	11.8793209759
3L	AGAP010313	112	5	9.84956210264	175	3	1.7438325729	11.59339467554
X	AGAP001053	275	4	1.99357381215	284	7	7.1467495054	9.14032331755
X	AGAP001004	107	3	3.21603822491	112	4	5.86635023622	9.08238846113
3R	AGAP010289	21	1	0.904142374557	16	2	7.94327927076	8.847421645317
X	AGAP001070	310	7	6.54322206188	367	5	2.26612379012	8.809345852
X	AGAP000937	17	2	7.63937494043	22	1	0.852516769973	8.491891710403
X	AGAP001047	30	1	0.63659022786	46	3	7.67017405314	8.306764281
3R	AGAP007762	109	3	3.14940568148	128	4	5.05799110639	8.20739678787
X	AGAP000829	134	5	8.11421337267	354	1	0.0853899683924	8.1996033410624
2R	AGAP001683	13434	31	1.52438870925	17075	19	6.60497269199	8.129361401239999
2R	AGAP004169	5527	1	4.26485217316	4910	1	3.83212682784	8.096979001000001
X	AGAP001061	560	9	5.42069263563	874	9	2.62576386963	8.04645650526
2L	AGAP005165	8321	9	3.47159031477	7346	5	4.17928311604	7.65087343081
