chrom	gene	segreg_g	pri_der_fix_g	score_g
3L	AGAP010781	77	14	56.4325195809
3L	AGAP010316	2	1	2.99820056802
3L	AGAP010694	138	1	0.205899455097
3L	AGAP010750	414	1	0.399905668552
3L	AGAP010742	532	2	0.295534875771
3L	AGAP010780	56	3	2.89357716264
3L	AGAP010317	5	1	1.58070341985
3L	AGAP010910	39	1	0.164487421926
3L	AGAP011018	4	1	1.87207101979
3L	AGAP011025	64	1	0.0199331964576
3L	AGAP011008	5	2	10.1554735691
3L	AGAP010757	40	1	0.156061274307
3L	AGAP010788	288	1	0.155296336222
3L	AGAP010805	182	1	0.0656527867947
3L	AGAP010387	39	1	0.164487421926
3L	AGAP010549	190	1	0.0451633427292
3L	AGAP010313	16	3	9.95491892276
3L	AGAP010782	34	2	1.86546529617
3L	AGAP010793	22	1	0.394082427966
3L	AGAP011007	6	1	1.36841711464
3L	AGAP011009	1	1	4.36221372815
3L	AGAP010779	54	1	0.0650354162951
3L	AGAP010689	267	2	0.116153136744
3R	AGAP010135	13	1	0.693247918425
3R	AGAP010286	41	6	18.4351356272
3R	AGAP010201	658	1	0.851977876592
3R	AGAP007738	12	5	35.7647892045
3R	AGAP009683	1154	1	1.72191807669
3R	AGAP009861	596	1	0.73924541322
3R	AGAP007761	264	3	0.179806671908
3R	AGAP007734	39	1	0.164487421926
3R	AGAP010096	31	1	0.24698392995
3R	AGAP010208	47	1	0.105208526134
3R	AGAP008221	319	1	0.216339198066
3R	AGAP009724	50	1	0.0869143840061
3R	AGAP010044	416	1	0.403716655829
3R	AGAP010275	20	1	0.440967065468
3R	AGAP010184	1605	3	1.72278503581
3R	AGAP010307	29	3	5.74940545853
3R	AGAP009704	19	2	3.34299641628
3R	AGAP010264	14	2	4.4270401281
3R	AGAP009932	177	1	0.0793671513199
3R	AGAP009258	95	1	0.0836234831427
3R	AGAP010049	446	4	0.0627176571755
3R	AGAP010290	34	3	4.91151953179
3R	AGAP009933	353	1	0.282629962046
3R	AGAP007737	16	6	40.9595933115
3R	AGAP007739	5	2	10.1554735691
3R	AGAP009631	15	1	0.601422429001
3R	AGAP010295	95	3	1.51872885588
3R	AGAP010147	171	2	0.093330827932
3R	AGAP009918	89	1	0.0649860747978
3R	AGAP010137	8	1	1.07759759133
3R	AGAP010283	25	3	6.63183642349
3R	AGAP009925	550	7	0.696320586229
3R	AGAP007731	27	10	71.6592941205
3R	AGAP007732	90	33	244.017153823
3R	AGAP007742	17	1	0.527894303331
3R	AGAP010302	7	1	1.20614403213
3R	AGAP010294	13	1	0.693247918425
3R	AGAP007762	46	1	0.111719743117
3R	AGAP007736	401	51	146.455238388
3R	AGAP009946	9	3	15.9400241046
3R	AGAP010308	14	5	31.900929407
3R	AGAP010159	16	2	3.92287989798
3R	AGAP009706	20	2	3.18401069278
3R	AGAP010265	164	5	2.58929617806
3R	AGAP007733	7	1	1.20614403213
2R	AGAP004000	500	2	0.242416718737
2R	AGAP003997	1054	9	0.136196533513
2R	AGAP002131	31	1	0.24698392995
2R	AGAP004577	157	1	0.142583036831
2R	AGAP001707	49	1	0.0928169485416
2R	AGAP013145	2662	6	2.37185585849
2R	AGAP001695	98	1	0.0927646719162
2R	AGAP002573	1736	3	1.93280131226
2R	AGAP003986	712	2	0.597200870349
2R	AGAP013074	108	1	0.122469158477
2R	AGAP003751	848	1	1.19086530708
2R	AGAP002790	1562	6	0.782535649199
2R	AGAP003459	34	3	4.91151953179
2R	AGAP002710	93	1	0.0774651887857
2R	AGAP002231	55	1	0.0599570290415
2R	AGAP001683	3505	41	2.56704018679
2R	AGAP002628	604	3	0.157262680939
2R	AGAP002858	1290	1	1.95387313387
2R	AGAP013144	210	1	0.000604584284461
2R	AGAP001826	743	3	0.362151781759
2R	AGAP003400	519	3	0.0386852676307
2R	AGAP001271	195	1	0.0331869257606
2R	AGAP001684	77	2	0.679818319727
2R	AGAP003509	2762	1	4.38642252608
2R	AGAP003342	60	1	0.0365688619496
2R	AGAP003961	108	2	0.38173976294
2R	AGAP004104	63	1	0.0239382992378
2R	AGAP002325	834	1	1.16618182944
2R	AGAP001816	15	1	0.601422429001
2R	AGAP003310	32	1	0.234883553361
2R	AGAP002191	8	2	7.11717286718
2R	AGAP001916	263	1	0.105657152044
2R	AGAP002884	39	1	0.164487421926
2R	AGAP002859	1092	5	0.385095257934
2R	AGAP004032	252	7	3.22841569699
2R	AGAP003449	204	1	0.0130739390145
2R	AGAP001513	82	1	0.042582109078
2R	AGAP003595	77	1	0.0260905634159
2R	AGAP003784	126	2	0.27187472313
2R	AGAP002233	332	1	0.241766631461
2R	AGAP003337	69	1	0.00127115518008
2R	AGAP002739	251	1	0.0817077862482
2R	AGAP013090	10	2	5.92680539519
2R	AGAP002773	1437	2	1.80844386253
2R	AGAP002443	110	2	0.367888322231
2R	AGAP004169	1568	4	1.33792891737
2R	AGAP001620	24	1	0.353706692799
2R	AGAP002362	33	1	0.223376449951
2R	AGAP002488	74	1	0.0159794587816
2R	AGAP013174	19	1	0.467417750819
2R	AGAP004106	1453	7	0.427470764021
2R	AGAP001670	41	1	0.147962870395
2R	AGAP002578	694	2	0.56693044953
2R	AGAP004333	96	1	0.0866831539675
2R	AGAP002741	2007	1	3.1517330771
2R	AGAP003537	236	1	0.0516706007312
2R	AGAP003937	115	1	0.142633466415
