chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g
2R	AGAP002824	718	27	22.4878156879	1425	8	0.175525770201
X	AGAP013181	15	4	21.6117440221			0
X	AGAP000988	2	2	19.6548640532			0
2R	AGAP004306	20	4	16.977244062			0
X	AGAP001025	28	4	12.5628285775	23	1	0.638458505618
2R	AGAP013294	469	16	11.7128937856	960	3	0.156138763929
2R	AGAP003479	134	8	11.3796724617	270	3	0.607707919146
2L	AGAP005169	52	5	11.1886492646			0
X	AGAP000994	17	3	10.5472260406	28	1	0.518536319805
2R	AGAP004333	118	7	9.78175796925	194	3	1.07397209836
3R	AGAP007766	37	4	9.6461071569	47	1	0.269723317428
2R	AGAP004274	19	3	9.55705026907			0
X	AGAP000969	252	10	8.85009894109	425	5	1.19926732121
3R	AGAP007734	23	3	8.02992110265			0
2R	AGAP001816	9	2	7.19985658049			0
2L	AGAP006634	5570	3	7.14755929171			0
2R	AGAP003935	28	3	6.67021805877	40	1	0.338269552435
X	AGAP000995	10	2	6.59880983049	14	1	1.0266455545
2L	AGAP005171	125	6	6.48549449328			0
2R	AGAP003997	1266	23	6.14584386439	1765	11	0.436455663824
2R	AGAP004275	32	3	5.85923232645	51	1	0.237612983163
2R	AGAP004039	914	18	5.63864048641	1270	8	0.340495480595
X	AGAP001065	13	2	5.27018673042			0
2R	AGAP001674	672	14	4.87445124082	1186	5	0.0272966440197
2L	AGAP007247	3151	1	4.50074463418			0
X	AGAP000989	16	2	4.37785139393			0
2R	AGAP002132	123	5	4.34870490014			0
2R	AGAP002828	174	6	4.31777645897	374	1	0.049841486475
2L	AGAP006347	2998	1	4.27741072347			0
2R	AGAP002829	81	4	4.24035916715	191	1	0.156191248219
3R	AGAP007776	2860	1	4.07554376561			0
2L	AGAP005661	2855	1	4.06822162907			0
2R	AGAP004046	3053	2	3.94296432328			0
X	AGAP000942	18	2	3.92894610704			0
2R	AGAP003509	3423	4	3.70264467847			0
2R	AGAP013085	52	3	3.55590444386	59	1	0.184244765448
2R	AGAP004108	21	2	3.39892468621			0
X	AGAP000990	55	3	3.34558261961	84	2	1.14422427821
2L	AGAP007133	2317	1	3.27647793728			0
2R	AGAP004348	101	4	3.27262750432	243	2	0.155386077414
2R	AGAP003255	22	2	3.25099796324	62	1	0.167141862634
2R	AGAP002773	2284	1	3.22762607251			0
2R	AGAP002424	2210	1	3.11793759999			0
2L	AGAP005156	2451	2	3.06562062583			0
X	AGAP000912	62	3	2.92909109723			0
2L	AGAP007103	2517	3	2.77846045415			0
3R	AGAP009683	1940	1	2.71587066344			0
2R	AGAP002310	1892	1	2.64405080167			0
2R	AGAP002845	71	3	2.50747242304	81	2	1.19663144474
3R	AGAP007743	71	3	2.50747242304	165	1	0.109121495853
2R	AGAP001677	72	3	2.46675848158			0
2R	AGAP004648	336	7	2.45034797486			0
2R	AGAP002914	596	10	2.37789892296	927	3	0.126609657707
3R	AGAP009725	1666	1	2.30425740343			0
2L	AGAP005207	1649	1	2.27857702922			0
X	AGAP000788	32	2	2.23935193979			0
2R	AGAP001866	1598	1	2.20142378241			0
2R	AGAP003566	33	2	2.16907957273			0
2R	AGAP003519	286	6	2.11576859416	586	3	0.0298510683991
2R	AGAP004303	82	3	2.11136728644	161	1	0.101632941461
X	AGAP000977	4	1	2.065592172			0
2L	AGAP005072	145	4	2.05402605042	166	1	0.110982460666
2L	AGAP005449	1991	3	2.01990437699			0
2R	AGAP002630	36	2	1.97969543872			0
2R	AGAP002710	87	3	1.9627527677			0
X	AGAP000941	87	3	1.9627527677	111	2	0.792433178081
2R	AGAP003305	1686	2	1.93863258868			0
X	AGAP001022	89	3	1.9077445891	99	2	0.926773089805
2R	AGAP004317	90	3	1.88111071422			0
2R	AGAP013482	90	3	1.88111071422			0
2L	AGAP005332	1376	1	1.86339118771			0
2R	AGAP004344	397	7	1.83791750365	687	2	0.1302654572
2R	AGAP012951	92	3	1.82949305418	136	1	0.0530191540273
3R	AGAP007765	93	3	1.8044753751			0
2R	AGAP002411	1287	1	1.72671926839			0
2R	AGAP003979	97	3	1.70931496909			0
2L	AGAP005091	1255	1	1.6773928709	1041	1	0.845221141313
2R	AGAP002877	42	2	1.67576065496	83	2	1.16130255819
2R	AGAP004092	515	8	1.64458913247	1184	2	0.651249100546
2R	AGAP001827	100	3	1.64270574726			0
2L	AGAP005096	1158	1	1.52720962545			0
2R	AGAP003933	46	2	1.51378231448	88	2	1.07952221596
2R	AGAP004639	6	1	1.51201216176			0
2R	AGAP002822	110	3	1.44577666869	155	1	0.0902607029646
2L	AGAP004783	1047	1	1.35397937157			0
2R	AGAP003735	668	9	1.35284301827	923	1	0.710177401266
2R	AGAP003805	51	2	1.34430819052	77	2	1.27238344816
2R	AGAP004107	117	3	1.32713041209			0
