chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP010314	120	1	0.0318994500595
3L	AGAP010310	118	3	2.71337336011
3L	AGAP010313	112	5	9.32563208242
3L	AGAP010742	1949	1	1.44959707401
3L	AGAP010788	1306	2	0.522601199367
3L	AGAP010317	31	4	20.4043809663
3R	AGAP009801	733	1	0.324928040885
3R	AGAP007761	727	4	0.215314722705
3R	AGAP010147	844	5	0.371496633581
3R	AGAP010297	61	2	2.09782783164
3R	AGAP009953	873	1	0.461436101718
3R	AGAP007732	525	25	54.3486933436
3R	AGAP010302	42	4	15.3721854194
3R	AGAP010294	92	2	1.31997948381
3R	AGAP007737	84	2	1.46915750095
3R	AGAP010305	11	3	26.6540217572
3R	AGAP010298	14	1	1.24801842143
3R	AGAP010290	173	3	1.69180516104
3R	AGAP009183	492	2	0.0848264328303
3R	AGAP007736	1966	29	13.9424575794
3R	AGAP009706	88	1	0.120595912514
3R	AGAP010184	5100	3	3.32338947926
3R	AGAP010286	378	3	0.461239019118
3R	AGAP010293	69	2	1.8348673039
3R	AGAP010303	59	2	2.17391648232
3R	AGAP009805	1265	1	0.831499847394
3R	AGAP009934	44	2	2.94686519858
3R	AGAP009708	70	1	0.197275233089
3R	AGAP010044	1977	1	1.47439309913
3R	AGAP007731	146	10	31.314540398
3R	AGAP010304	56	4	11.6251989737
3R	AGAP007734	188	2	0.479382540566
3R	AGAP007762	109	3	2.97386828745
3R	AGAP010295	502	3	0.202677197695
3R	AGAP010308	47	2	2.7556813167
3R	AGAP010289	21	1	0.861228932036
2R	AGAP003252	117	1	0.038564385979
2R	AGAP001690	2802	2	1.79936177958
2R	AGAP013121	393	4	1.05469730659
2R	AGAP002226	3230	1	2.55984311943
2R	AGAP003519	731	2	0.0370842791126
2R	AGAP004068	442	1	0.0317777506135
2R	AGAP013145	9575	1	7.80220650337
2R	AGAP003997	3258	24	2.98979617409
2R	AGAP013186	105	1	0.0681542766494
2R	AGAP003479	468	1	0.0584719075673
2R	AGAP001683	13434	31	1.84238861053
2R	AGAP001674	2322	6	0.301727830573
2R	AGAP004230	1605	1	1.14206917411
2R	AGAP004034	410	1	0.00116682447693
2R	AGAP002186	6898	1	5.61582528228
2R	AGAP004169	5527	1	4.48540170126
2R	AGAP004066	5303	3	3.48893269565
2R	AGAP004096	1454	1	1.00509072384
2R	AGAP002790	4148	2	2.92690264187
2R	AGAP001660	2686	1	2.09343361009
2R	AGAP004052	4573	4	2.53201416829
2R	AGAP001658	789	1	0.379858515374
