chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g
X	AGAP000975			0	13	5	53.9806779952
X	AGAP001083	11	1	0.903123764863	7	3	30.4906091436
2L	AGAP004698			0	11	3	21.73310767
X	AGAP000010	20	1	0.500038771492	13	3	18.9906009206
3R	AGAP007762			0	45	5	18.8183505356
X	AGAP000837	109	2	0.460956171689	108	7	16.1248571114
X	AGAP001042			0	5	2	16.0269195554
X	AGAP001030	11	1	0.903123764863	16	3	15.9545353964
X	AGAP000986	35	1	0.242617747716	54	5	15.7882551395
X	AGAP001039	21	1	0.47370385054	18	3	14.4098662788
X	AGAP001051			0	6	2	14.0422321622
X	AGAP000949			0	10	2	9.3917656103
X	AGAP001068	21	1	0.47370385054	30	3	9.05319616452
2L	AGAP006748	36	1	0.231912301458	32	3	8.51496272704
X	AGAP013147	24	1	0.40579697696	12	2	8.05518059524
X	AGAP001011			0	36	3	7.60253369026
2R	AGAP003459	52	1	0.10759646187	69	4	7.56042706794
X	AGAP000978	18	1	0.559895064437	13	2	7.51905533928
X	AGAP000962	517	7	1.07445264675	447	10	6.70832028695
X	AGAP013126			0	1	1	6.70442464694
X	AGAP001027	66	2	0.979550707123	88	4	5.83654934053
X	AGAP001084	82	2	0.72808342489	103	4	4.90492666883
X	AGAP013526	10	1	0.983661404433	21	2	4.89005235844
X	AGAP000991			0	22	2	4.68285559614
3L	AGAP011979			0	60	3	4.54050755879
X	AGAP001093	53	2	1.28477071546	62	3	4.38621487347
2L	AGAP007163			0	4169	1	4.15429391676
3R	AGAP007754			0	120	4	4.11951372618
2R	AGAP003070			0	3886	1	3.86450048768
X	AGAP000834			0	133	4	3.64943785362
X	AGAP000840			0	34	2	3.07923540266
2R	AGAP004405			0	3002	1	2.9520351849
2R	AGAP002790	2027	7	0.893285447726	2948	2	2.49225620058
2R	AGAP004098			0	108	3	2.35393393632
2R	AGAP001825	26	1	0.367830533294	45	2	2.31444428622
X	AGAP000882			0	46	2	2.26179003303
2R	AGAP013145	3291	22	0.0267180085548	5217	10	2.10018210792
3R	AGAP007759	83	2	0.715349732498	206	4	2.08568636904
2L	AGAP006270			0	2167	1	2.07526059365
2R	AGAP002858	1684	7	0.500455386214	2833	3	2.00400432952
3R	AGAP007737			0	53	2	1.94506814153
2R	AGAP002104	1169	3	0.839270558842	1970	1	1.86521414183
X	AGAP013495	150	3	0.912164075611	132	3	1.8359203983
X	AGAP000938	145	3	0.963286796694	133	3	1.81823159089
2R	AGAP003965			0	1899	1	1.78911824151
X	AGAP000984	79	1	0.00529795268778	59	2	1.72947363857
2R	AGAP002793			0	1823	1	1.70740783779
2L	AGAP005170	984	6	0.0258847472706	1766	1	1.6459403803
2R	AGAP002336			0	63	2	1.60701917912
2R	AGAP004112			0	1719	1	1.59513069072
2L	AGAP005165	2608	10	0.89001479711	3669	7	1.55665332327
X	AGAP000904	301	2	0.12265450013	371	5	1.52607713757
X	AGAP000831			0	9	1	1.50823505972
2R	AGAP004078	150	1	0.196970831805	258	4	1.50256173618
2R	AGAP002924	1230	4	0.641615895223	1521	1	1.3796984659
2R	AGAP003893	948	2	0.83287865595	1468	1	1.32161210684
