chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP010313	29	5	14.6636952331
3L	AGAP028193	1	1	3.76542401325
3L	AGAP010310	28	3	5.00758824223
3L	AGAP011979	61	4	4.2472868475
3L	AGAP010317	5	4	35.2866188905
3L	AGAP010744	9	2	5.51183801581
3L	AGAP010788	522	1	0.769842677587
3L	AGAP010780	89	1	0.112547809778
3L	AGAP011974	49	1	0.0471344833923
3L	AGAP010797	421	1	0.551178165794
3L	AGAP010781	192	1	0.030384522105
3L	AGAP010314	35	1	0.146179050122
3R	AGAP009925	1120	1	1.9959653533
3R	AGAP007731	32	11	63.3604541428
3R	AGAP007738	23	2	2.34337850097
3R	AGAP009189	182	1	0.00677415616129
3R	AGAP007761	270	4	0.376450132213
3R	AGAP009951	308	2	0.0179651064332
3R	AGAP009940	276	1	0.22610897645
3R	AGAP009805	560	1	0.850838692438
3R	AGAP009801	268	1	0.207707669365
3R	AGAP010286	282	2	0.0316035507105
3R	AGAP007737	23	2	2.34337850097
3R	AGAP007742	32	2	1.65992877634
3R	AGAP009183	174	4	1.0120572764
3R	AGAP010290	93	1	0.126293303151
3R	AGAP010304	18	4	14.0712675821
3R	AGAP010303	28	2	1.9149516937
3R	AGAP009941	187	1	0.0185843182411
3R	AGAP010295	276	1	0.22610897645
3R	AGAP007732	125	23	79.5081914598
3R	AGAP010302	12	4	19.5950729614
3R	AGAP009706	31	1	0.186840380644
3R	AGAP007734	95	1	0.133080989945
3R	AGAP009201	132	1	0.14979783743
3R	AGAP010298	2	1	2.59018619986
3R	AGAP009934	18	2	2.97721546841
3R	AGAP007736	663	47	58.9857363828
3R	AGAP009796	91	1	0.119449618747
3R	AGAP007762	43	3	3.21409749579
3R	AGAP010268	122	2	0.190086689768
3R	AGAP009790	466	1	0.649262950345
3R	AGAP010044	764	1	1.27670538528
3R	AGAP009268	191	1	0.0280253709801
2R	AGAP003509	3430	1	6.42406149542
2R	AGAP004104	97	1	0.139814691261
2R	AGAP013184	53	1	0.0265841259203
2R	AGAP003629	200	2	0.052174660294
2R	AGAP001826	865	2	1.10671618339
2R	AGAP004106	2962	2	5.11936619334
2R	AGAP002898	480	1	0.679553725494
2R	AGAP003914	4742	4	7.61341228037
2R	AGAP002859	1338	5	1.05076549128
2R	AGAP001683	4398	58	2.92439222028
2R	AGAP013121	202	3	0.264279554357
2R	AGAP004107	134	1	0.141393000503
2R	AGAP001684	108	2	0.266465348523
2R	AGAP002132	99	1	0.146496312436
2R	AGAP002150	433	1	0.577446416332
2R	AGAP002863	34	1	0.155631864777
2R	AGAP002914	606	2	0.59613009344
2R	AGAP004050	2236	2	3.74809961086
2R	AGAP002585	149	1	0.0852436771811
2R	AGAP002628	689	1	1.12166826235
2R	AGAP002591	1981	1	3.67515896156
2R	AGAP003579	1010	1	1.77610848181
2R	AGAP004230	651	3	0.394266805934
2R	AGAP001824	2670	24	0.0819111818084
2R	AGAP003331	226	3	0.175123123406
2R	AGAP003984	75	1	0.0624004054667
2R	AGAP004026	368	1	0.434091505954
2R	AGAP003935	35	1	0.146179050122
2R	AGAP004443	815	1	1.38129161697
2R	AGAP003479	180	2	0.00493597031343
2R	AGAP002904	83	2	0.461388365102
2R	AGAP013068	24	2	2.24500065048
2R	AGAP003150	51	1	0.0365474352428
2R	AGAP003568	545	1	0.818940933343
2R	AGAP004066	2239	2	3.75379329184
2R	AGAP002896	519	1	0.763421139661
2R	AGAP013012	2160	1	4.01837588441
2R	AGAP003070	2156	3	3.2054970834
2R	AGAP002722	48	1	0.0526828106623
2R	AGAP013050	22	1	0.318951121658
2R	AGAP003244	457	1	0.629735892327
2R	AGAP013187	41	1	0.0972629316987
2R	AGAP002560	171	1	0.020123361943
2R	AGAP002232	259	3	0.0806861194148
2R	AGAP004052	1970	3	2.85617163811
2R	AGAP002924	1289	1	2.33064917333
2R	AGAP003071	244	1	0.152188309352
2R	AGAP013144	252	1	0.170747105487
2R	AGAP001675	37	1	0.128493519426
2R	AGAP004644	166	1	0.0334510367784
2R	AGAP002325	844	3	0.744607204752
2R	AGAP004028	1153	1	2.06159113458
2R	AGAP004640	95	2	0.35597874498
2R	AGAP004269	72	1	0.0511783371559
2R	AGAP003979	155	1	0.0657101408521
2R	AGAP003268	88	1	0.109074410368
2R	AGAP001817	12	1	0.63373228107
2R	AGAP002645	352	2	0.100346753999
2R	AGAP003658	855	2	1.08706127429
2R	AGAP002915	2205	8	1.68049043896
2R	AGAP004096	533	2	0.452173245008
2R	AGAP002719	410	1	0.527023439323
2R	AGAP003519	296	6	1.22203222928
2R	AGAP003335	816	4	0.429170429043
2R	AGAP002342	266	1	0.203099112242
2R	AGAP002186	2567	4	3.59723352406
2R	AGAP004488	30	1	0.198331269303
2R	AGAP001658	222	1	0.100889870306
2R	AGAP004117	1019	1	1.79416531929
2R	AGAP002900	255	2	0.0941235278732
2R	AGAP004637	46	2	1.09089121871
2R	AGAP004221	42	1	0.0901908866705
2R	AGAP004169	2597	1	4.85110460386
2R	AGAP003993	196	1	0.0398162615171
2R	AGAP004639	7	1	1.03562641178
2R	AGAP001660	940	1	1.63520531505
2R	AGAP002126	48	1	0.0526828106623
2R	AGAP003992	109	2	0.260403945295
2R	AGAP013374	56	3	2.38785981532
2R	AGAP003997	1284	23	3.30388676418
2R	AGAP013145	3544	5	5.02121887865
2R	AGAP003945	1105	1	1.96608743246
2R	AGAP004008	195	1	0.0374590825148
2R	AGAP003400	569	1	0.869932645413
2R	AGAP002732	381	1	0.462979850198
2R	AGAP002651	333	1	0.355725937801
2R	AGAP004643	32	5	13.3873816412
2R	AGAP004657	16	2	3.32598097689
2R	AGAP002909	82	1	0.0879000240535
2R	AGAP001678	1045	2	1.45938466258
2R	AGAP002226	1065	2	1.49843658203
2R	AGAP013085	100	1	0.14981816101
2R	AGAP002667	36	1	0.137142864314
2R	AGAP002553	31	1	0.186840380644
2R	AGAP002557	596	1	0.927021816251
2R	AGAP003349	295	8	2.75491112244
2R	AGAP004642	268	3	0.0592350404631
2R	AGAP002517	32	1	0.175923496481
2R	AGAP002888	1031	1	1.81822116195
2R	AGAP001674	744	4	0.311672512454
2R	AGAP002638	45	2	1.12077719148
2R	AGAP003933	57	1	0.00829998940394
2R	AGAP001690	898	8	0.00680883559233
2R	AGAP004007	20	1	0.360847479018
2L	AGAP004904	219	1	0.0938661349204
2L	AGAP005171	154	4	1.24648862803
2L	AGAP005165	3042	5	4.1037421502
2L	AGAP004827	357	2	0.109837381166
2L	AGAP004903	5	1	1.36236817791
2L	AGAP004902	799	3	0.661945819949
2L	AGAP005168	136	2	0.128557082612
2L	AGAP005181	270	3	0.0546789615688
2L	AGAP005169	42	1	0.0901908866705
2L	AGAP005073	39	1	0.112250297368
2L	AGAP005170	1083	1	1.92221018025
2L	AGAP005467	371	2	0.136522885527
2L	AGAP005216	260	1	0.1892536828
