chrom	gene	segreg_c	pri_der_fix_c	score_c
3L	AGAP010742	1949	1	1.36632782999
3L	AGAP010310	118	3	2.87634006266
3L	AGAP010788	1306	2	0.468704230489
3L	AGAP010313	112	5	9.84956210264
3L	AGAP010781	487	1	0.0539439997514
3L	AGAP010314	120	1	0.0450361502917
3L	AGAP010317	31	4	21.4591644894
3R	AGAP010295	502	3	0.24232785358
3R	AGAP010294	92	2	1.40073265877
3R	AGAP009805	1265	1	0.775036123759
3R	AGAP010302	42	4	16.1769208526
3R	AGAP009706	88	1	0.136356727117
3R	AGAP010308	47	2	2.90299811081
3R	AGAP010303	59	2	2.29398031392
3R	AGAP010293	69	2	1.93920879704
3R	AGAP007762	109	3	3.14940568148
3R	AGAP010147	844	5	0.436329738312
3R	AGAP010044	1977	1	1.3900367329
3R	AGAP007737	84	2	1.55670490131
3R	AGAP009953	873	1	0.420786550123
3R	AGAP007732	525	25	57.495478111
3R	AGAP007736	1966	29	15.058507733
3R	AGAP007734	188	2	0.522516415026
3R	AGAP007731	146	10	33.0316878561
3R	AGAP009183	492	2	0.0605318640767
3R	AGAP007761	727	4	0.263045828982
3R	AGAP010184	5100	3	3.12313120787
3R	AGAP009708	70	1	0.215440101873
3R	AGAP010304	56	4	12.2441659849
3R	AGAP009801	733	1	0.290119578993
3R	AGAP009934	44	2	3.10320118234
3R	AGAP010290	173	3	1.80554990361
3R	AGAP010286	378	3	0.514622503108
3R	AGAP010289	21	1	0.904142374557
3R	AGAP010298	14	1	1.30718597689
3R	AGAP010297	61	1	0.26872592726
2R	AGAP002186	6898	1	5.34295026035
2R	AGAP004066	5303	3	3.28081882593
2R	AGAP004068	442	1	0.00990857616254
2R	AGAP001675	115	1	0.0566190126807
2R	AGAP004050	4763	2	3.24724325716
2R	AGAP002915	5658	1	4.36830324567
2R	AGAP004046	6800	2	4.8441513603
2R	AGAP003349	740	3	0.017252720037
2R	AGAP001674	2322	7	0.0749101045518
2R	AGAP002858	3531	1	2.67141579853
2R	AGAP004000	1410	4	0.0670253770201
2R	AGAP004096	1454	1	0.941156775075
2R	AGAP013186	105	1	0.0823439142057
2R	AGAP004028	2462	1	1.7963467487
2R	AGAP003479	468	1	0.0353732384879
2R	AGAP003997	3258	24	3.38554071711
2R	AGAP004026	856	1	0.405054107832
2R	AGAP004052	4573	3	2.71337616026
2R	AGAP004273	1635	1	1.09808988487
2R	AGAP002914	1539	1	1.01509347905
2R	AGAP001824	7754	17	1.1397789514
2R	AGAP002909	204	1	0.0959216147584
2R	AGAP002790	4148	2	2.76073948436
2R	AGAP001683	13434	31	1.52438870925
2R	AGAP001658	789	1	0.342695031378
2R	AGAP013145	9575	1	7.42727525537
2R	AGAP004229	455	3	0.32773797531
2R	AGAP001690	2802	2	1.68539394416
2R	AGAP004106	6876	1	5.32572116084
2R	AGAP013121	393	4	1.14971783343
2R	AGAP003519	731	2	0.00875435039829
2R	AGAP002232	695	3	0.0176523004813
2R	AGAP001684	383	2	0.0520047406501
2R	AGAP004049	267	1	0.18361425522
2R	AGAP003252	117	1	0.0518927363064
2R	AGAP012965	1280	1	0.78831517471
2R	AGAP004169	5527	1	4.26485217316
2R	AGAP004230	1605	1	1.0722086362
2L	AGAP005073	162	4	3.92580374456
2L	AGAP005165	8321	9	3.47159031477
2L	AGAP004827	1101	2	0.301908662714
2L	AGAP005168	375	1	0.06409488287
2L	AGAP005181	934	2	0.16758105942
2L	AGAP005171	477	4	0.804535616116
2L	AGAP006634	14439	2	10.7362480363
2L	AGAP005467	982	2	0.205965974264
2L	AGAP005169	138	1	0.00889752381015
2L	AGAP004902	2250	6	0.194741051902
2L	AGAP004904	580	1	0.144223686342
X	AGAP001073	484	2	0.0527108369874
X	AGAP000950	55	1	0.312040479546
X	AGAP000997	47	1	0.38371280506
X	AGAP000994	94	2	1.36562503388
X	AGAP001034	32	3	11.0524740943
X	AGAP001023	177	6	8.94769671732
X	AGAP001004	107	3	3.21603822491
X	AGAP013495	450	2	0.0194007352677
X	AGAP001061	560	9	5.42069263563
X	AGAP001027	173	2	0.599107427951
X	AGAP001032	64	4	10.7201913983
X	AGAP000981	114	8	26.6225691521
X	AGAP001031	16	3	20.5857330143
X	AGAP000833	81	5	13.792493708
X	AGAP000934	43	2	3.17569283782
X	AGAP001065	60	2	2.25354648577
X	AGAP001033	14	2	9.06655611991
X	AGAP000893	386	1	0.0502672959824
X	AGAP001028	43	4	15.8187814203
X	AGAP001090	60	4	11.4348703847
X	AGAP000998	2596	14	0.843947637173
X	AGAP000819	18	4	34.472384907
X	AGAP000932	509	4	0.70370009159
X	AGAP001052	688	5	0.751015555576
X	AGAP000941	301	4	1.75113246328
X	AGAP001039	73	1	0.200091284126
X	AGAP000906	365	3	0.55401137085
X	AGAP000823	53	3	6.76952201995
X	AGAP000915	2731	8	0.125577685952
X	AGAP000973	334	1	0.1233574922
X	AGAP000820	9	1	1.90730425267
X	AGAP000995	43	2	3.17569283782
X	AGAP001046	101	1	0.0937456286452
X	AGAP013181	30	5	35.3617250553
X	AGAP001037	17	4	36.1382158508
X	AGAP000835	68	1	0.2262806702
X	AGAP000863	518	1	0.0841593369706
X	AGAP001076	119	10	40.5525443667
X	AGAP000829	134	5	8.11421337267
X	AGAP000942	76	2	1.74315046489
X	AGAP000989	113	3	3.02290998504
X	AGAP000990	201	1	0.0915017931983
X	AGAP001043	486	11	10.5067215807
X	AGAP000832	40	1	0.46559672172
X	AGAP000962	1574	7	0.17636917364
X	AGAP000937	17	2	7.63937494043
X	AGAP000935	66	2	2.03507989018
X	AGAP000960	94	1	0.115525155266
X	AGAP000945	276	3	0.922312068958
X	AGAP000992	34	1	0.557907165091
X	AGAP000913	246	2	0.309416397535
X	AGAP000847	1663	10	0.895247655047
X	AGAP013093	28	1	0.683076483634
X	AGAP000898	300	2	0.181338041809
X	AGAP000977	25	1	0.764659793774
X	AGAP000996	114	3	2.99261279024
X	AGAP001084	254	2	0.287217868575
X	AGAP001047	30	1	0.63659022786
X	AGAP000971	207	1	0.10031564795
X	AGAP001050	23	2	5.80159451489
X	AGAP000951	38	1	0.493605900955
X	AGAP000982	134	3	2.47796379537
X	AGAP000824	39	1	0.47929694728
X	AGAP001038	19	2	6.91186500379
X	AGAP001048	418	1	0.0140776335513
X	AGAP001040	12	1	1.49501887578
X	AGAP000711	342	1	0.110722073207
X	AGAP000938	547	5	1.20554987924
X	AGAP001094	130	1	0.02399332751
X	AGAP000974	859	7	1.35187267912
X	AGAP013317	14	1	1.30718597689
X	AGAP001092	20	3	16.9671255158
X	AGAP001035	67	13	116.542518984
X	AGAP012991	81	1	0.163731286306
X	AGAP000931	57	1	0.29676736808
X	AGAP001082	156	5	6.85123769202
X	AGAP000929	523	1	0.08902201341
X	AGAP013341	37	10	116.282513332
X	AGAP000825	30	2	4.51731191408
X	AGAP001015	698	6	1.29201209009
X	AGAP013021	422	6	2.99349965658
X	AGAP001022	212	4	2.82280344576
X	AGAP001053	275	4	1.99357381215
X	AGAP000837	145	1	0.0032597945644
X	AGAP000969	1131	4	0.0834511082263
X	AGAP001083	38	1	0.493605900955
X	AGAP001030	24	2	5.5766073056
X	AGAP000983	85	1	0.147645569494
X	AGAP013526	35	1	0.540661085111
X	AGAP001025	81	3	4.36493316707
X	AGAP000940	435	5	1.78770836103
X	AGAP000822	6	3	43.60784187
X	AGAP000943	578	3	0.134674371857
X	AGAP001093	245	1	0.15398407844
X	AGAP001091	170	4	3.70706282344
X	AGAP001070	310	7	6.54322206188
X	AGAP001036	17	2	7.63937494043
X	AGAP001026	32	5	33.4001365679
X	AGAP001068	88	1	0.136356727117
X	AGAP000933	60	1	0.275446947989
X	AGAP000978	51	1	0.345534304053
X	AGAP001018	27	1	0.708528905606
X	AGAP000957	93	1	0.118847826754
X	AGAP000988	31	2	4.37753122385
X	AGAP001044	7	2	16.0409384341
X	AGAP000999	98	1	0.102777102416
X	AGAP000961	100	1	0.0967083692652
X	AGAP001041	18	1	1.04331153921
X	AGAP001045	29	2	4.66591600266
X	AGAP000958	413	7	4.50411546233
X	AGAP001029	44	4	15.4754864074
X	AGAP013136	47	1	0.38371280506
X	AGAP000954	324	1	0.139990780339
X	AGAP001069	150	1	0.0116637734585
