chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
3R	AGAP007736	443	76	250.977785289	206	76	283.840198866	534.817984155
3R	AGAP007732	47	25	206.508913522	26	34	280.026425247	486.535338769
3R	AGAP007761	165	25	72.6800462538	101	53	258.480657255	331.1607035088
2R	AGAP001824	1634	88	80.317267778	683	124	242.078933066	322.39620084399996
X	AGAP001035	16	15	170.913931439	15	7	28.5748412934	199.4887727324
3R	AGAP007731	14	11	111.20858353	8	11	88.0699736085	199.2785571385
X	AGAP001076	9	10	120.488484088	9	10	71.9285750281	192.4170591161
X	AGAP001023	40	6	15.7602082335	17	20	154.390701901	170.1509101345
2R	AGAP001683	3382	103	40.2598051236	1785	145	111.305519318	151.5653244416
X	AGAP000893	55	15	72.9403893897	40	12	36.2875091833	109.227898573
X	AGAP013341	6	7	82.8706548849	4	4	23.6989570104	106.5696118953
2R	AGAP003335	728	33	24.1845160419	260	38	59.6522896794	83.8368057213
2R	AGAP004278	20	6	28.982698287	20	10	44.4696459837	73.4523442707
X	AGAP000996	15	6	36.2097208063	15	8	36.4483826204	72.6581034267
2R	AGAP001677	53	8	21.8399360975	28	11	41.1809132526	63.0208493501
X	AGAP001036	1	2	19.8950024404	1	4	38.2581156057	58.1531180461
2R	AGAP013085	45	10	39.7118132209	21	6	16.3208813377	56.0326945586
2L	AGAP007110	354	18	15.3685576337	253	31	40.0487964991	55.4173541328
3R	AGAP007743	52	9	28.2566039325	26	8	23.9428945378	52.1994984703
X	AGAP001011	13	4	18.2553647231	13	7	31.6124846165	49.8678493396
X	AGAP001037	5	4	35.0097284518	6	3	10.7963776202	45.806106072
X	AGAP000974	134	12	19.7873251288	87	14	23.8445825535	43.631907682299996
X	AGAP001026	17	5	23.0619217127	7	4	17.0613571579	40.123278870600004
X	AGAP001050	12	3	10.6835306609	3	4	27.1696014263	37.8531320872
2R	AGAP001690	572	28	22.7819052673	418	26	14.1395897034	36.9214949707
X	AGAP001061	72	10	25.6584927493	138	12	10.1877609835	35.8462537328
X	AGAP000904	170	10	10.0974696264	82	14	25.3192903067	35.4167599331
X	AGAP001033	2	2	14.964941744	2	3	19.6645365278	34.6294782718
X	AGAP001032	24	4	10.8112572023	14	6	22.5415843876	33.3528415899
X	AGAP001043	137	12	19.3148777844	62	9	13.4695732507	32.7844510351
X	AGAP001029	12	4	19.4363869365	10	4	13.2579051174	32.6942920539
3R	AGAP009945	34	5	12.5461194187	25	7	19.0739351024	31.620054521100002
X	AGAP000983	21	4	12.1952860368	12	5	17.867491497	30.062777533800002
X	AGAP001091	25	5	16.6345867646	28	6	12.6560260782	29.2906128428
X	AGAP001034	7	3	16.1752716748	1	2	12.1207070614	28.2959787362
